"state_name","county_fips","county_name","votes_gop","votes_dem","total_votes","diff","per_gop","per_dem","per_point_diff"
"Alabama",1001,"Autauga County",19838,7503,27770,12335,0.714368023046453,0.270183651422398,0.444184371624055
"Alabama",1003,"Baldwin County",83544,24578,109679,58966,0.761713728243328,0.22409029987509,0.537623428368238
"Alabama",1005,"Barbour County",5622,4816,10518,806,0.534512264689104,0.457881726563986,0.0766305381251188
"Alabama",1007,"Bibb County",7525,1986,9595,5539,0.784262636789995,0.206982803543512,0.577279833246482
"Alabama",1009,"Blount County",24711,2640,27588,22071,0.895715528490648,0.0956937799043062,0.800021748586342
"Alabama",1011,"Bullock County",1146,3446,4613,-2300,0.248428354649902,0.747019293301539,-0.498590938651637
"Alabama",1013,"Butler County",5458,3965,9488,1493,0.575252951096121,0.41789629005059,0.157356661045531
"Alabama",1015,"Calhoun County",35101,15216,50983,19885,0.688484396759704,0.298452425318243,0.390031971441461
"Alabama",1017,"Chambers County",8753,6365,15284,2388,0.572690395184507,0.416448573671814,0.156241821512693
"Alabama",1019,"Cherokee County",10583,1624,12301,8959,0.860336558003414,0.132021786846598,0.728314771156817
"Alabama",1021,"Chilton County",16085,3073,19310,13012,0.832988089073019,0.159140341791818,0.673847747281201
"Alabama",1023,"Choctaw County",4296,3127,7464,1169,0.57556270096463,0.418944265809218,0.156618435155413
"Alabama",1025,"Clarke County",7324,5755,13135,1569,0.557594213932242,0.438142367719833,0.11945184621241
"Alabama",1027,"Clay County",5601,1267,6930,4334,0.808225108225108,0.182828282828283,0.625396825396825
"Alabama",1029,"Cleburne County",6484,675,7227,5809,0.897191088971911,0.0933997509339975,0.803791338037913
"Alabama",1031,"Coffee County",16899,5076,22275,11823,0.758653198653199,0.227878787878788,0.530774410774411
"Alabama",1033,"Colbert County",19203,8343,27886,10860,0.688625116545937,0.299182385426379,0.389442731119558
"Alabama",1035,"Conecuh County",3442,2966,6441,476,0.534389070020183,0.460487501940692,0.0739015680794908
"Alabama",1037,"Coosa County",3631,1796,5479,1835,0.662712173754335,0.327797043256069,0.334915130498266
"Alabama",1039,"Covington County",14586,2721,17430,11865,0.836833046471601,0.156110154905336,0.680722891566265
"Alabama",1041,"Crenshaw County",4864,1700,6617,3164,0.735076318573372,0.256914009369805,0.478162309203567
"Alabama",1043,"Cullman County",36880,4478,41851,32402,0.881221476189338,0.106998638025376,0.774222838163963
"Alabama",1045,"Dale County",14303,5170,19738,9133,0.724642820954504,0.261931300030398,0.462711520924106
"Alabama",1047,"Dallas County",5524,12230,17864,-6706,0.30922525750112,0.6846171070309,-0.375391849529781
"Alabama",1049,"DeKalb County",24767,4281,29356,20486,0.843677612753781,0.145830494617795,0.697847118135986
"Alabama",1051,"Elmore County",30164,10367,41030,19797,0.735169388252498,0.252668778942237,0.482500609310261
"Alabama",1053,"Escambia County",10869,4918,15910,5951,0.683155248271527,0.309113764927718,0.374041483343809
"Alabama",1055,"Etowah County",35528,11567,47728,23961,0.744384847468991,0.242352497485753,0.502032349983238
"Alabama",1057,"Fayette County",7300,1395,8766,5905,0.832762947752681,0.159137577002053,0.673625370750627
"Alabama",1059,"Franklin County",10376,2086,12578,8290,0.824932421688663,0.165845126411194,0.659087295277469
"Alabama",1061,"Geneva County",10848,1595,12545,9253,0.864726982861698,0.127142287764049,0.737584695097648
"Alabama",1063,"Greene County",875,3884,4775,-3009,0.183246073298429,0.813403141361257,-0.630157068062827
"Alabama",1065,"Hale County",3190,4687,7922,-1497,0.402676091895986,0.591643524362535,-0.188967432466549
"Alabama",1067,"Henry County",6607,2606,9298,4001,0.710582921058292,0.280275328027533,0.430307593030759
"Alabama",1069,"Houston County",32618,12917,46173,19701,0.706430164814935,0.279752236155329,0.426677928659606
"Alabama",1071,"Jackson County",19670,3717,23636,15953,0.832205110847859,0.157260111694026,0.674944999153833
"Alabama",1073,"Jefferson County",138843,181688,325848,-42845,0.426097444207115,0.557585131717856,-0.131487687510741
"Alabama",1075,"Lamar County",6174,978,7193,5196,0.858334491867093,0.135965522035312,0.722368969831781
"Alabama",1077,"Lauderdale County",31721,11915,44339,19806,0.71541983355511,0.268725050181556,0.446694783373554
"Alabama",1079,"Lawrence County",12322,3562,16031,8760,0.768635768199114,0.222194498159815,0.546441270039299
"Alabama",1081,"Lee County",42221,27860,71449,14361,0.590924995451301,0.38992848045459,0.200996514996711
"Alabama",1083,"Limestone County",34640,13672,49235,20968,0.703564537422565,0.277688636132832,0.425875901289733
"Alabama",1085,"Lowndes County",1836,4972,6835,-3136,0.26861741038771,0.727432333577176,-0.458814923189466
"Alabama",1087,"Macon County",1541,7108,8723,-5567,0.176659406167603,0.814857273873667,-0.638197867706064
"Alabama",1089,"Madison County",102780,87286,194767,15494,0.527707465843803,0.44815600178675,0.0795514640570528
"Alabama",1091,"Marengo County",5343,5488,10900,-145,0.490183486238532,0.50348623853211,-0.013302752293578
"Alabama",1093,"Marion County",12205,1463,13807,10742,0.88397189831245,0.105960744549866,0.778011153762584
"Alabama",1095,"Marshall County",33191,5943,39655,27248,0.836994073887278,0.149867608120035,0.687126465767242
"Alabama",1097,"Mobile County",101243,79474,183164,21769,0.552745080911096,0.433895306938045,0.118849773973052
"Alabama",1099,"Monroe County",6147,4455,10668,1692,0.576209223847019,0.417604049493813,0.158605174353206
"Alabama",1101,"Montgomery County",33311,64529,99139,-31218,0.336002985706937,0.650894199053854,-0.314891213346917
"Alabama",1103,"Morgan County",39664,13234,53722,26430,0.738319496668032,0.24634228062991,0.491977216038122
