"county","state","prop_higher_education"
"Stanton","KS","15.0"
"Stevens","KS","12.2"
"Sumner","KS","25.4"
"Thomas","KS","24.1"
"Trego","KS","23.8"
"Wabaunsee","KS","24.3"
"Wallace","KS","28.3"
"Washington","KS","22.4"
"Wichita","KS","18.0"
"Wilson","KS","18.4"
"Woodson","KS","20.4"
"Wyandotte","KS","19.3"
"Adair","KY","18.9"
"Allen","KY","17.4"
"Anderson","KY","25.3"
"Ballard","KY","16.1"
"Barren","KY","17.2"
"Bath","KY","14.9"
"Bell","KY","9.9"
"Boone","KY","34.0"
"Bourbon","KY","23.1"
"Boyd","KY","20.6"
"Boyle","KY","26.7"
"Bracken","KY","13.0"
"Breathitt","KY","16.9"
"Breckinridge","KY","14.2"
"Bullitt","KY","16.1"
"Butler","KY","13.8"
"Caldwell","KY","17.1"
"Calloway","KY","31.6"
"Campbell","KY","38.7"
"Carlisle","KY","12.5"
"Carroll","KY","6.6"
"Carter","KY","12.9"
"Casey","KY","11.6"
"Christian","KY","18.3"
"Clark","KY","20.1"
"Clay","KY","11.5"
"Clinton","KY","13.8"
"Crittenden","KY","12.9"
"Cumberland","KY","13.4"
"Daviess","KY","25.0"
"Edmonson","KY","10.2"
"Elliott","KY","8.9"
"Estill","KY","10.6"
"Fayette","KY","45.6"
"Fleming","KY","15.7"
"Floyd","KY","12.6"
"Franklin","KY","29.6"
"Fulton","KY","13.7"
"Gallatin","KY","10.4"
"Garrard","KY","20.5"
"Grant","KY","15.0"
"Graves","KY","18.0"
"Grayson","KY","11.4"
"Green","KY","13.9"
"Greenup","KY","16.8"
"Hancock","KY","15.3"
"Hardin","KY","22.6"
"Harlan","KY","9.5"
"Harrison","KY","17.5"
"Hart","KY","10.6"
"Henderson","KY","18.0"
"Henry","KY","13.8"
"Hickman","KY","24.4"
"Hopkins","KY","16.5"
"Jackson","KY","9.1"
"Jefferson","KY","35.0"
"Jessamine","KY","29.6"
"Johnson","KY","16.1"
"Kenton","KY","35.5"
"Knott","KY","16.0"
"Knox","KY","15.3"
"Larue","KY","16.9"
"Laurel","KY","15.4"
"Lawrence","KY","12.2"
"Lee","KY","7.9"
"Leslie","KY","9.2"
"Letcher","KY","10.3"
"Lewis","KY","8.8"
"Lincoln","KY","13.7"
"Livingston","KY","14.6"
"Logan","KY","16.9"
"Lyon","KY","14.3"
"Madison","KY","33.4"
"Magoffin","KY","10.9"
"Marion","KY","14.1"
"Marshall","KY","21.4"
"Martin","KY","11.8"
"Mason","KY","22.2"
"McCracken","KY","26.7"
"McCreary","KY","7.0"
"McLean","KY","17.4"
"Meade","KY","17.3"
"Menifee","KY","11.1"
"Mercer","KY","20.1"
"Metcalfe","KY","13.8"
"Monroe","KY","14.8"
"Montgomery","KY","16.7"
"Morgan","KY","15.3"
"Muhlenberg","KY","12.0"
"Nelson","KY","20.8"
"Nicholas","KY","9.2"
"Ohio","KY","14.6"
"Oldham","KY","44.4"
"Owen","KY","18.1"
"Owsley","KY","11.5"
"Pendleton","KY","16.0"
"Perry","KY","14.0"
"Pike","KY","15.7"
"Powell","KY","16.5"
"Pulaski","KY","17.2"
"Robertson","KY","13.7"
"Rockcastle","KY","12.1"
"Rowan","KY","25.8"
"Russell","KY","16.2"
"Scott","KY","29.7"
"Shelby","KY","28.8"
"Simpson","KY","13.8"
"Spencer","KY","22.4"
"Taylor","KY","21.8"
"Todd","KY","14.7"
"Trigg","KY","21.0"
"Trimble","KY","14.7"
"Union","KY","10.1"
"Warren","KY","32.3"
"Washington","KY","20.7"
"Wayne","KY","15.9"
"Webster","KY","10.0"
"Whitley","KY","19.7"
"Wolfe","KY","6.6"
"Woodford","KY","39.6"
"Acadia Parish","LA","13.6"
"Allen Parish","LA","12.1"
"Ascension Parish","LA","28.7"
"Assumption Parish","LA","10.8"
"Avoyelles Parish","LA","12.3"
"Beauregard Parish","LA","18.3"
"Bienville Parish","LA","12.5"
"Bossier Parish","LA","26.8"
"Caddo Parish","LA","24.0"
"Calcasieu Parish","LA","23.8"
"Caldwell Parish","LA","12.1"
"Cameron Parish","LA","17.1"
"Catahoula Parish","LA","15.5"
"Claiborne Parish","LA","12.2"
"Concordia Parish","LA","15.5"
"De Soto Parish","LA","14.4"
"East Baton Rouge Parish","LA","37.5"
"East Carroll Parish","LA","10.2"
"East Feliciana Parish","LA","15.9"
"Evangeline Parish","LA","12.6"
"Franklin Parish","LA","14.8"
"Grant Parish","LA","11.5"
"Iberia Parish","LA","14.5"
"Iberville Parish","LA","15.7"
"Jackson Parish","LA","12.4"
"Jefferson Davis Parish","LA","16.5"
"Jefferson Parish","LA","28.7"
"LaSalle Parish","LA","17.0"
"Lafayette Parish","LA","33.9"
"Lafourche Parish","LA","17.3"
"Lincoln Parish","LA","37.6"
"Livingston Parish","LA","20.3"
"Madison Parish","LA","15.1"
"Morehouse Parish","LA","11.5"
"Natchitoches Parish","LA","21.6"
"Orleans Parish","LA","39.1"
"Ouachita Parish","LA","24.8"
"Plaquemines Parish","LA","17.1"
"Pointe Coupee Parish","LA","15.2"
"Rapides Parish","LA","21.5"
"Red River Parish","LA","12.4"
"Richland Parish","LA","15.4"
"Sabine Parish","LA","12.8"
"St. Bernard Parish","LA","14.7"
"St. Charles Parish","LA","28.4"
"St. Helena Parish","LA","12.4"
"St. James Parish","LA","18.3"
"St. John the Baptist Parish","LA","16.0"
"St. Landry Parish","LA","14.7"
"St. Martin Parish","LA","14.9"
"St. Mary Parish","LA","12.2"
"St. Tammany Parish","LA","36.4"
"Tangipahoa Parish","LA","21.2"
"Tensas Parish","LA","13.4"
"Terrebonne Parish","LA","16.5"
"Union Parish","LA","16.6"
"Vermilion Parish","LA","17.4"
"Vernon Parish","LA","18.6"
"Washington Parish","LA","10.7"
"Webster Parish","LA","14.4"
"West Baton Rouge Parish","LA","20.9"
"West Carroll Parish","LA","11.4"
"West Feliciana Parish","LA","22.8"
"Winn Parish","LA","14.0"
"Barnstable","MA","44.9"
"Berkshire","MA","36.1"
"Bristol","MA","29.3"
"Dukes","MA","46.1"
"Essex","MA","41.2"
"Franklin","MA","38.8"
"Hampden","MA","28.2"
"Hampshire","MA","50.2"
"Middlesex","MA","57.8"
"Nantucket","MA","50.7"
"Norfolk","MA","55.5"
"Plymouth","MA","39.3"
"Suffolk","MA","48.1"
"Worcester","MA","38.1"
"Allegany","MD","20.2"
"Anne Arundel","MD","42.9"
"Baltimore","MD","40.4"
"Baltimore city","MD","34.2"
"Calvert","MD","35.7"
"Caroline","MD","19.0"
"Carroll","MD","38.0"
"Cecil","MD","25.7"
"Charles","MD","31.1"
"Dorchester","MD","19.9"
"Frederick","MD","42.3"
"Garrett","MD","24.7"
"Harford","MD","37.7"
"Howard","MD","63.6"
"Kent","MD","37.5"
"Montgomery","MD","59.8"
"Prince George's","MD","34.9"
"Queen Anne's","MD","37.0"
"Somerset","MD","17.0"
"St. Mary's","MD","33.0"
"Talbot","MD","41.0"
"Washington","MD","22.6"
"Wicomico","MD","28.8"
"Worcester","MD","30.6"
"Androscoggin","ME","22.9"
"Aroostook","ME","20.3"
"Cumberland","ME","49.8"
"Franklin","ME","28.1"
"Hancock","ME","35.5"
"Kennebec","ME","29.7"
"Knox","ME","36.3"
"Lincoln","ME","37.6"
"Oxford","ME","21.1"
"Penobscot","ME","30.0"
"Piscataquis","ME","20.3"
"Sagadahoc","ME","38.2"
"Somerset","ME","19.9"
"Waldo","ME","32.9"
"Washington","ME","24.0"
"York","ME","32.8"
"Alcona","MI","19.4"
"Alger","MI","17.9"
"Allegan","MI","23.7"
"Alpena","MI","16.8"
"Antrim","MI","30.0"
"Arenac","MI","14.3"
"Baraga","MI","14.7"
"Barry","MI","24.1"
"Bay","MI","20.3"
"Benzie","MI","32.8"
"Berrien","MI","29.0"
"Branch","MI","15.4"
"Calhoun","MI","21.8"
"Cass","MI","20.9"
"Charlevoix","MI","32.5"
"Cheboygan","MI","22.7"
"Chippewa","MI","23.4"
"Clare","MI","12.1"
"Clinton","MI","32.6"
"Crawford","MI","21.2"
"Delta","MI","18.8"
"Dickinson","MI","23.5"
"Eaton","MI","30.3"
"Emmet","MI","37.0"
"Genesee","MI","22.2"
"Gladwin","MI","14.2"
"Gogebic","MI","21.7"
"Grand Traverse","MI","38.4"
"Gratiot","MI","16.8"
"Hillsdale","MI","18.3"
"Houghton","MI","33.6"
"Huron","MI","16.2"
"Ingham","MI","40.6"
"Ionia","MI","16.1"
"Iosco","MI","16.1"
"Iron","MI","19.2"
"Isabella","MI","30.2"
"Jackson","MI","22.6"
"Kalamazoo","MI","40.4"
"Kalkaska","MI","15.9"
"Kent","MI","38.1"
"Keweenaw","MI","36.8"
"Lake","MI","13.1"
"Lapeer","MI","18.6"
"Leelanau","MI","47.3"
"Lenawee","MI","21.9"
"Livingston","MI","37.8"
"Luce","MI","17.9"
"Mackinac","MI","24.7"
"Macomb","MI","26.1"
"Manistee","MI","22.0"
"Marquette","MI","34.1"
"Mason","MI","23.3"
"Mecosta","MI","24.4"
"Menominee","MI","17.5"
"Midland","MI","35.6"
"Missaukee","MI","15.2"
"Monroe","MI","21.6"
"Montcalm","MI","13.9"
"Montmorency","MI","14.3"
"Muskegon","MI","20.5"
"Newaygo","MI","17.1"
"Oakland","MI","48.9"
"Oceana","MI","20.3"
"Ogemaw","MI","13.3"
"Ontonagon","MI","15.0"
"Osceola","MI","15.2"
"Oscoda","MI","13.6"
"Otsego","MI","26.8"
"Ottawa","MI","35.7"
"Presque Isle","MI","19.2"
"Roscommon","MI","17.1"
"Saginaw","MI","22.3"
"Sanilac","MI","14.9"
"Schoolcraft","MI","18.7"
"Shiawassee","MI","18.2"
"St. Clair","MI","19.4"
"St. Joseph","MI","16.4"
"Tuscola","MI","14.2"
"Van Buren","MI","21.4"
"Washtenaw","MI","57.2"
"Wayne","MI","25.8"
"Wexford","MI","20.2"
"Aitkin","MN","17.2"
"Anoka","MN","31.3"
"Becker","MN","25.8"
"Beltrami","MN","30.4"
"Benton","MN","22.9"
"Big Stone","MN","20.1"
"Blue Earth","MN","35.5"
"Brown","MN","23.7"
"Carlton","MN","23.9"
"Carver","MN","49.7"
"Cass","MN","24.3"
"Chippewa","MN","19.2"
"Chisago","MN","22.4"
"Clay","MN","36.0"
"Clearwater","MN","17.7"
"Cook","MN","42.4"
"Cottonwood","MN","22.2"
"Crow Wing","MN","25.9"
"Dakota","MN","43.2"
"Dodge","MN","28.2"
"Douglas","MN","26.9"
"Faribault","MN","20.2"
"Fillmore","MN","22.4"
"Freeborn","MN","16.8"
"Goodhue","MN","26.6"
"Grant","MN","18.5"
"Hennepin","MN","51.8"
"Houston","MN","25.4"
"Hubbard","MN","29.5"
"Isanti","MN","18.8"
"Itasca","MN","25.2"
"Jackson","MN","22.1"
"Kanabec","MN","14.8"
"Kandiyohi","MN","25.3"
"Kittson","MN","26.0"
"Koochiching","MN","16.2"
"Lac qui Parle","MN","19.4"
"Lake","MN","26.0"
"Lake of the Woods","MN","21.9"
"Le Sueur","MN","23.8"
"Lincoln","MN","21.0"
"Lyon","MN","26.9"
"Mahnomen","MN","12.9"
"Marshall","MN","19.3"
"Martin","MN","21.6"
"McLeod","MN","19.3"
"Meeker","MN","19.6"
"Mille Lacs","MN","16.1"
"Morrison","MN","17.9"
"Mower","MN","23.6"
"Murray","MN","21.3"
"Nicollet","MN","35.2"
"Nobles","MN","16.6"
"Norman","MN","21.9"
"Olmsted","MN","47.1"
"Otter Tail","MN","26.8"
"Pennington","MN","19.7"
"Pine","MN","15.3"
"Pipestone","MN","20.4"
"Polk","MN","27.0"
"Pope","MN","22.2"
"Ramsey","MN","43.9"
"Red Lake","MN","17.7"
"Redwood","MN","19.1"
"Renville","MN","16.0"
"Rice","MN","28.9"
"Rock","MN","25.7"
"Roseau","MN","20.0"
"Scott","MN","42.3"
"Sherburne","MN","25.9"
"Sibley","MN","17.0"
"St. Louis","MN","31.2"
"Stearns","MN","28.7"
"Steele","MN","27.9"
"Stevens","MN","28.3"
"Swift","MN","20.9"
"Todd","MN","14.6"
"Traverse","MN","14.9"
"Wabasha","MN","26.8"
"Wadena","MN","16.7"
"Waseca","MN","22.5"
"Washington","MN","47.1"
"Watonwan","MN","18.8"
"Wilkin","MN","22.4"
"Winona","MN","31.8"
"Wright","MN","31.9"
"Yellow Medicine","MN","18.2"
"Adair","MO","33.0"
"Andrew","MO","27.3"
"Atchison","MO","20.7"
"Audrain","MO","15.1"
"Barry","MO","14.9"
"Barton","MO","19.5"
"Bates","MO","14.0"
"Benton","MO","14.3"
"Bollinger","MO","11.9"
"Boone","MO","48.5"
"Buchanan","MO","22.1"
"Butler","MO","13.1"
"Caldwell","MO","14.9"
"Callaway","MO","24.0"
"Camden","MO","22.4"
"Cape Girardeau","MO","32.8"
"Carroll","MO","19.6"
"Carter","MO","13.2"
"Cass","MO","27.2"
"Cedar","MO","15.4"
"Chariton","MO","19.2"
"Christian","MO","31.5"
"Clark","MO","12.3"
"Clay","MO","34.2"
"Clinton","MO","21.3"
"Cole","MO","35.3"
"Cooper","MO","23.3"
"Crawford","MO","12.0"
"Dade","MO","13.8"
"Dallas","MO","13.0"
"Daviess","MO","20.0"
"DeKalb","MO","15.3"
"Dent","MO","15.6"
"Douglas","MO","13.2"
"Dunklin","MO","13.9"
"Franklin","MO","21.1"
"Gasconade","MO","18.1"
"Gentry","MO","19.9"
"Greene","MO","31.8"
"Grundy","MO","16.2"
"Harrison","MO","16.6"
"Henry","MO","15.7"
"Hickory","MO","9.8"
"Holt","MO","20.9"
"Howard","MO","27.7"
"Howell","MO","18.2"
"Iron","MO","15.6"
"Jackson","MO","32.4"
"Jasper","MO","23.9"
"Jefferson","MO","22.1"
"Johnson","MO","29.2"
"Knox","MO","15.4"
"Laclede","MO","16.7"
"Lafayette","MO","21.5"
"Lawrence","MO","15.3"
"Lewis","MO","12.7"
"Lincoln","MO","18.8"
"Linn","MO","19.1"
"Livingston","MO","20.0"
"Macon","MO","17.7"
"Madison","MO","15.7"
"Maries","MO","17.0"
"Marion","MO","24.3"
"McDonald","MO","10.9"
"Mercer","MO","18.4"
"Miller","MO","19.7"
"Mississippi","MO","13.4"
"Moniteau","MO","18.3"
"Monroe","MO","15.8"
"Montgomery","MO","16.4"
"Morgan","MO","13.1"
"New Madrid","MO","13.7"
"Newton","MO","22.5"
"Nodaway","MO","27.0"
"Oregon","MO","14.2"
"Osage","MO","21.7"
"Ozark","MO","11.9"
"Pemiscot","MO","11.7"
"Perry","MO","19.2"
"Pettis","MO","18.3"
"Phelps","MO","31.2"
"Pike","MO","14.9"
"Platte","MO","44.4"
"Polk","MO","21.6"
"Pulaski","MO","29.1"
"Putnam","MO","18.7"
"Ralls","MO","14.5"
"Randolph","MO","18.2"
"Ray","MO","15.4"
"Reynolds","MO","13.7"
"Ripley","MO","10.3"
"Saline","MO","24.4"
"Schuyler","MO","9.7"
"Scotland","MO","14.6"
"Scott","MO","20.3"
"Shannon","MO","15.3"
"Shelby","MO","18.9"
"St. Charles","MO","41.8"
"St. Clair","MO","13.4"
"St. Francois","MO","14.6"
"St. Louis","MO","45.3"
"St. Louis city","MO","38.0"
"Ste. Genevieve","MO","19.0"
"Stoddard","MO","13.6"
"Stone","MO","20.7"
"Sullivan","MO","15.1"
"Taney","MO","22.3"
"Texas","MO","14.8"
"Vernon","MO","19.1"
"Warren","MO","19.6"
"Washington","MO","12.6"
"Wayne","MO","10.7"
"Webster","MO","18.3"
"Worth","MO","18.3"
"Wright","MO","11.7"
"Adams","MS","17.9"
"Alcorn","MS","19.8"
"Amite","MS","10.6"
"Attala","MS","13.1"
"Benton","MS","9.3"
"Bolivar","MS","25.5"
"Calhoun","MS","12.4"
"Carroll","MS","14.7"
"Chickasaw","MS","12.5"
"Choctaw","MS","18.6"
"Claiborne","MS","21.3"
"Clarke","MS","12.4"
"Clay","MS","19.7"
"Coahoma","MS","18.4"
"Copiah","MS","18.2"
"Covington","MS","15.8"
"DeSoto","MS","26.1"
"Forrest","MS","28.9"
"Franklin","MS","15.9"
"George","MS","13.6"
"Greene","MS","10.8"
"Grenada","MS","20.4"
"Hancock","MS","24.1"
"Harrison","MS","24.5"
"Hinds","MS","30.9"
"Holmes","MS","12.7"
"Humphreys","MS","18.1"
"Issaquena","MS","4.5"
"Itawamba","MS","14.7"
"Jackson","MS","23.0"
"Jasper","MS","14.9"
"Jefferson","MS","18.1"
"Jefferson Davis","MS","13.9"
"Jones","MS","20.5"
"Kemper","MS","14.0"
"Lafayette","MS","45.0"
"Lamar","MS","32.8"
"Lauderdale","MS","20.7"
"Lawrence","MS","15.0"
"Leake","MS","16.4"
"Lee","MS","28.3"
"Leflore","MS","18.8"
"Lincoln","MS","16.2"
"Lowndes","MS","25.1"
"Madison","MS","50.2"
"Marion","MS","11.3"
"Marshall","MS","12.9"
"Monroe","MS","16.7"
"Montgomery","MS","18.1"
"Neshoba","MS","13.0"
"Newton","MS","14.7"
"Noxubee","MS","12.2"
"Oktibbeha","MS","44.1"
"Panola","MS","15.9"
"Pearl River","MS","14.5"
"Perry","MS","9.6"
"Pike","MS","16.3"
"Pontotoc","MS","17.2"
"Prentiss","MS","16.8"
"Quitman","MS","11.2"
"Rankin","MS","31.5"
"Scott","MS","12.2"
"Sharkey","MS","17.0"
"Simpson","MS","16.0"
"Smith","MS","14.8"
"Stone","MS","14.8"
"Sunflower","MS","16.1"
"Tallahatchie","MS","12.3"
"Tate","MS","18.9"
"Tippah","MS","14.8"
"Tishomingo","MS","12.8"
"Tunica","MS","15.8"
"Union","MS","16.4"
"Walthall","MS","18.0"
"Warren","MS","24.2"
"Washington","MS","20.6"
"Wayne","MS","21.0"
"Webster","MS","17.7"
"Wilkinson","MS","13.4"
"Winston","MS","15.8"
"Yalobusha","MS","11.4"
"Yazoo","MS","11.8"
"Beaverhead","MT","33.1"
"Big Horn","MT","19.4"
"Blaine","MT","24.7"
"Broadwater","MT","23.5"
"Carbon","MT","31.5"
"Carter","MT","20.8"
"Cascade","MT","27.7"
"Chouteau","MT","27.3"
"Custer","MT","28.0"
"Daniels","MT","22.3"
"Dawson","MT","23.2"
"Deer Lodge","MT","22.5"
"Fallon","MT","19.2"
"Fergus","MT","26.4"
"Flathead","MT","33.6"
"Gallatin","MT","52.2"
"Garfield","MT","21.5"
"Glacier","MT","21.7"
"Golden Valley","MT","19.3"
"Granite","MT","32.8"
"Hill","MT","26.1"
"Jefferson","MT","35.8"
"Judith Basin","MT","23.2"
"Lake","MT","32.5"
"Lewis and Clark","MT","42.3"
"Liberty","MT","22.7"
"Lincoln","MT","19.1"
"Madison","MT","31.9"
"McCone","MT","18.2"
"Meagher","MT","29.6"
"Mineral","MT","25.1"
"Missoula","MT","44.2"
"Musselshell","MT","20.9"
"Park","MT","33.3"
"Petroleum","MT","28.3"
"Phillips","MT","19.0"
"Pondera","MT","22.7"
"Powder River","MT","25.0"
"Powell","MT","18.8"
"Prairie","MT","25.7"
"Ravalli","MT","28.4"
"Richland","MT","16.2"
"Roosevelt","MT","19.4"
"Rosebud","MT","19.3"
"Sanders","MT","19.0"
"Sheridan","MT","25.7"
"Silver Bow","MT","28.0"
"Stillwater","MT","28.0"
"Sweet Grass","MT","22.1"
"Teton","MT","25.2"
"Toole","MT","26.1"
"Treasure","MT","29.3"
"Valley","MT","19.1"
"Wheatland","MT","17.8"
"Wibaux","MT","24.2"
"Yellowstone","MT","33.7"
"Alamance","NC","26.3"
"Alexander","NC","14.9"
"Alleghany","NC","20.4"
"Anson","NC","11.8"
"Ashe","NC","19.6"
"Avery","NC","23.9"
"Beaufort","NC","20.4"
"Bertie","NC","15.0"
"Bladen","NC","17.7"
"Brunswick","NC","31.7"
"Buncombe","NC","42.3"
"Burke","NC","18.7"
"Cabarrus","NC","34.8"
"Caldwell","NC","16.6"
"Camden","NC","23.8"
"Carteret","NC","30.1"
"Caswell","NC","15.1"
"Catawba","NC","24.0"
"Chatham","NC","45.0"
"Cherokee","NC","22.5"
"Chowan","NC","22.6"
"Clay","NC","27.0"
"Cleveland","NC","18.9"
"Columbus","NC","14.1"
"Craven","NC","25.6"
"Cumberland","NC","25.9"
"Currituck","NC","26.1"
"Dare","NC","40.2"
"Davidson","NC","19.3"
"Davie","NC","26.2"
"Duplin","NC","15.6"
"Durham","NC","50.7"
"Edgecombe","NC","17.4"
"Forsyth","NC","34.5"
"Franklin","NC","22.6"
"Gaston","NC","23.3"
"Gates","NC","11.0"
"Graham","NC","13.5"
"Granville","NC","23.4"
"Greene","NC","10.8"
"Guilford","NC","37.2"
"Halifax","NC","14.8"
"Harnett","NC","23.0"
"Haywood","NC","27.7"
"Henderson","NC","33.0"
"Hertford","NC","16.3"
"Hoke","NC","19.8"
"Hyde","NC","11.1"
"Iredell","NC","31.6"
"Jackson","NC","28.8"
"Johnston","NC","24.6"
"Jones","NC","14.7"
"Lee","NC","20.8"
"Lenoir","NC","14.0"
"Lincoln","NC","24.3"
"Macon","NC","24.0"
"Madison","NC","31.7"
"Martin","NC","14.5"
"McDowell","NC","18.3"
"Mecklenburg","NC","46.9"
"Mitchell","NC","22.3"
"Montgomery","NC","16.5"
"Moore","NC","40.1"
"Nash","NC","21.8"
"New Hanover","NC","42.8"
"Northampton","NC","16.7"
"Onslow","NC","24.8"
"Orange","NC","61.3"
"Pamlico","NC","23.5"
"Pasquotank","NC","25.7"
"Pender","NC","29.0"
"Perquimans","NC","20.3"
"Person","NC","17.6"
"Pitt","NC","32.6"
"Polk","NC","33.8"
"Randolph","NC","16.1"
"Richmond","NC","17.5"
"Robeson","NC","14.2"
"Rockingham","NC","15.6"
"Rowan","NC","19.9"
"Rutherford","NC","19.3"
"Sampson","NC","14.7"
"Scotland","NC","15.3"
"Stanly","NC","17.9"
"Stokes","NC","14.0"
"Surry","NC","19.0"
"Swain","NC","21.4"
"Transylvania","NC","35.9"
"Tyrrell","NC","11.2"
"Union","NC","37.7"
"Vance","NC","17.1"
"Wake","NC","54.7"
"Warren","NC","15.2"
"Washington","NC","12.5"
"Watauga","NC","44.4"
"Wayne","NC","20.4"
"Wilkes","NC","16.7"
"Wilson","NC","19.7"
"Yadkin","NC","14.0"
"Yancey","NC","20.3"
"Adams","ND","19.1"
"Barnes","ND","29.3"
"Benson","ND","19.4"
"Billings","ND","26.7"
"Bottineau","ND","24.6"
"Bowman","ND","18.8"
"Burke","ND","21.8"
"Burleigh","ND","37.2"
"Cass","ND","41.8"
"Cavalier","ND","24.9"
"Dickey","ND","25.2"
"Divide","ND","23.4"
"Dunn","ND","19.6"
"Eddy","ND","24.6"
"Emmons","ND","18.0"
"Foster","ND","22.9"
"Golden Valley","ND","23.5"
"Grand Forks","ND","36.1"
"Grant","ND","21.0"
"Griggs","ND","29.9"
"Hettinger","ND","16.8"
"Kidder","ND","19.1"
"LaMoure","ND","23.3"
"Logan","ND","22.7"
"McHenry","ND","20.9"
"McIntosh","ND","16.2"
"McKenzie","ND","24.0"
"McLean","ND","21.4"
"Mercer","ND","21.1"
"Morton","ND","27.3"
"Mountrail","ND","21.4"
"Nelson","ND","24.6"
"Oliver","ND","20.6"
"Pembina","ND","21.6"
"Pierce","ND","28.9"
"Ramsey","ND","25.5"
"Ransom","ND","21.2"
"Renville","ND","23.3"
"Richland","ND","22.6"
"Rolette","ND","17.3"
"Sargent","ND","20.0"
"Sheridan","ND","13.9"
"Sioux","ND","13.6"
"Slope","ND","26.2"
"Stark","ND","25.9"
"Steele","ND","29.6"
"Stutsman","ND","23.9"
"Towner","ND","15.0"
"Traill","ND","30.4"
"Walsh","ND","18.1"
"Ward","ND","29.4"
"Wells","ND","21.9"
"Williams","ND","24.4"
"Adams","NE","25.8"
"Antelope","NE","18.4"
"Arthur","NE","28.1"
"Banner","NE","27.3"
"Blaine","NE","22.8"
"Boone","NE","19.5"
"Box Butte","NE","18.7"
"Boyd","NE","16.8"
"Brown","NE","22.5"
"Buffalo","NE","34.5"
"Burt","NE","23.1"
"Butler","NE","23.8"
"Cass","NE","29.8"
"Cedar","NE","21.7"
"Chase","NE","22.4"
"Cherry","NE","25.8"
"Cheyenne","NE","22.6"
"Clay","NE","20.0"
"Colfax","NE","15.1"
"Cuming","NE","23.6"
"Custer","NE","23.5"
"Dakota","NE","13.8"
"Dawes","NE","36.4"
"Dawson","NE","16.1"
"Deuel","NE","19.5"
"Dixon","NE","21.2"
"Dodge","NE","19.7"
"Douglas","NE","40.7"
"Dundy","NE","30.4"
"Fillmore","NE","22.2"
"Franklin","NE","16.5"
"Frontier","NE","24.5"
"Furnas","NE","21.0"
"Gage","NE","20.2"
"Garden","NE","26.5"
"Garfield","NE","29.4"
"Gosper","NE","31.0"
"Grant","NE","28.3"
"Greeley","NE","16.5"
"Hall","NE","21.7"
"Hamilton","NE","26.3"
"Harlan","NE","25.3"
"Hayes","NE","18.8"
"Hitchcock","NE","18.3"
"Holt","NE","26.3"
"Hooker","NE","26.4"
"Howard","NE","20.2"
"Jefferson","NE","16.9"
"Johnson","NE","18.7"
"Kearney","NE","26.9"
"Keith","NE","20.2"
"Keya Paha","NE","27.8"
"Kimball","NE","12.7"
"Knox","NE","18.8"
"Lancaster","NE","40.1"
"Lincoln","NE","21.3"
"Logan","NE","26.4"
"Loup","NE","18.0"
"Madison","NE","24.3"
"McPherson","NE","23.9"
"Merrick","NE","16.3"
"Morrill","NE","19.6"
"Nance","NE","18.0"
"Nemaha","NE","29.4"
"Nuckolls","NE","22.7"
"Otoe","NE","26.4"
"Pawnee","NE","16.0"
"Perkins","NE","24.2"
"Phelps","NE","25.8"
"Pierce","NE","22.7"
"Platte","NE","23.5"
"Polk","NE","18.1"
"Red Willow","NE","23.6"
"Richardson","NE","19.4"
"Rock","NE","29.6"
"Saline","NE","18.2"
"Sarpy","NE","41.1"
"Saunders","NE","29.1"
"Scotts Bluff","NE","25.0"
"Seward","NE","30.5"
"Sheridan","NE","20.1"
"Sherman","NE","20.5"
"Sioux","NE","25.5"
"Stanton","NE","20.5"
"Thayer","NE","22.7"
"Thomas","NE","24.5"
"Thurston","NE","18.9"
"Valley","NE","26.3"
"Washington","NE","33.7"
"Wayne","NE","33.4"
"Webster","NE","19.6"
"Wheeler","NE","25.8"
"York","NE","25.2"
"Belknap","NH","31.2"
"Carroll","NH","37.4"
"Cheshire","NH","33.1"
"Coos","NH","20.0"
"Grafton","NH","42.6"
"Hillsborough","NH","39.6"
"Merrimack","NH","35.8"
"Rockingham","NH","42.8"
"Strafford","NH","36.9"
"Sullivan","NH","29.6"
"Atlantic","NJ","29.4"
"Bergen","NJ","51.2"
"Burlington","NJ","40.0"
"Camden","NJ","33.6"
"Cape May","NJ","35.0"
"Cumberland","NJ","17.0"
"Essex","NJ","36.7"
"Gloucester","NJ","34.5"
"Hudson","NJ","45.7"
"Hunterdon","NJ","54.3"
"Mercer","NJ","43.6"
"Middlesex","NJ","44.8"
"Monmouth","NJ","48.5"
"Morris","NJ","55.8"
"Ocean","NJ","32.2"
"Passaic","NJ","29.8"
"Salem","NJ","23.3"
"Somerset","NJ","56.1"
"Sussex","NJ","38.1"
"Union","NJ","37.6"
"Warren","NJ","34.5"
"Bernalillo","NM","36.3"
"Catron","NM","16.9"
"Chaves","NM","16.9"
"Cibola","NM","15.6"
"Colfax","NM","21.8"
"Curry","NM","21.3"
"De Baca","NM","10.7"
"Do\u00F1a Ana","NM","30.0"
"Eddy","NM","16.9"
"Grant","NM","26.7"
"Guadalupe","NM","8.5"
"Harding","NM","25.1"
"Hidalgo","NM","18.0"
"Lea","NM","14.8"
"Lincoln","NM","24.4"
"Los Alamos","NM","68.5"
"Luna","NM","12.0"
"McKinley","NM","12.2"
"Mora","NM","17.1"
"Otero","NM","20.1"
"Quay","NM","15.5"
"Rio Arriba","NM","17.7"
