"county","state","mean_household_income","unemployment","private_insurance","public_insurance","no_insurance"
"Conway","AR",66002,6.7,52.8,53.6,6.5
"Craighead","AR",74762,5.7,61.1,41.7,8.1
"Crawford","AR",68549,4.7,56.8,47.4,8.8
"Crittenden","AR",63460,9.9,49.4,49.1,8.8
"Cross","AR",64227,8.2,48.9,51.6,8.6
"Dallas","AR",51461,8.2,52.7,54.4,8.1
"Desha","AR",49078,5.7,48.1,53,9.3
"Drew","AR",62858,2.5,59,46.8,4.8
"Faulkner","AR",74413,3.3,68.4,34,8
"Franklin","AR",55015,5.1,53.1,53.6,6.4
"Fulton","AR",50988,5.9,48,56.3,10.4
"Garland","AR",68248,6.2,56.9,52,9.7
"Grant","AR",80956,3.4,66.1,45.8,6.1
"Greene","AR",62335,7.4,55.6,49.3,7.8
"Hempstead","AR",59074,4.8,52.2,51.5,10.1
"Hot Spring","AR",61326,5.5,53.2,52.2,7.3
"Howard","AR",58542,5.7,51.8,51.5,10.8
"Independence","AR",64737,5.4,54.3,46.6,9.2
"Izard","AR",59246,6.9,52.2,56.1,6.1
"Jackson","AR",54671,10.3,43.3,58.4,9.8
"Jefferson","AR",60469,9.3,58.3,49.8,6.3
"Johnson","AR",57149,3.8,56.8,48.8,7.8
"Lafayette","AR",49938,8,44,58.6,10
"Lawrence","AR",58053,7.2,52.3,53.5,7.4
"Lee","AR",54648,14.3,43.1,59.8,8.7
"Lincoln","AR",64155,3.1,62.5,44,7.5
"Little River","AR",68258,8.4,67,44.3,5.4
"Logan","AR",58847,4.8,59,46.9,7.2
"Lonoke","AR",80070,5.2,68.2,38.3,7
"Madison","AR",65885,5.1,52.6,49.6,9.5
"Marion","AR",53025,7.7,55.5,58.3,6.8
"Miller","AR",63639,7.5,52,51,9.8
"Mississippi","AR",63932,9.6,52.9,49,8.3
"Monroe","AR",54921,10.3,50.3,56.7,9.2
"Montgomery","AR",54422,8.7,52.3,55.5,10.9
"Nevada","AR",48701,7.4,47.6,60.7,5
"Newton","AR",55070,4.6,60.1,51.1,5.7
"Ouachita","AR",54988,6.3,52.5,55.7,6.2
"Perry","AR",63794,4.3,60.7,49.8,3.4
"Phillips","AR",48536,15.3,42.5,62.1,7.3
"Pike","AR",63192,3.7,59.2,47.3,8.4
"Poinsett","AR",54562,4.2,44.1,54.7,10.5
"Polk","AR",63826,10.4,53.8,53.2,10.2
"Pope","AR",68112,5.9,59.9,44.4,8.6
"Prairie","AR",63372,6,58.8,46.5,6.9
"Pulaski","AR",83568,5.3,63.4,41.1,8.5
"Randolph","AR",58952,7.3,50.1,56.2,6.5
"Saline","AR",83811,3.8,72.2,36.7,6
"Scott","AR",54091,5.9,52.8,50.8,9
"Searcy","AR",49687,4.3,51.1,58,5.7
"Sebastian","AR",73995,5,57.1,42.1,11.5
"Sevier","AR",66149,4.8,49,44.1,19.6
"Sharp","AR",49445,5.5,44.9,65.3,5.8
"St. Francis","AR",50995,6.6,44.7,56.3,9.3
"Stone","AR",46572,7.5,40.1,66.7,8
"Union","AR",66920,4.4,59.1,46.5,7.4
"Van Buren","AR",52890,5.4,48.3,59.9,10.1
"Washington","AR",81833,4.7,66.1,31.4,11.8
"White","AR",66420,5.4,58.4,44.9,9.3
"Woodruff","AR",62445,7.6,52.3,51.5,6.6
"Yell","AR",64096,3.6,53.6,52.3,8
"Apache","AZ",48645,9,30.6,48.2,26.8
"Cochise","AZ",71103,7.1,63.3,51.6,7.9
"Coconino","AZ",84392,7.8,64.8,33.3,10.9
"Gila","AZ",65388,7.3,55.3,56.7,9.2
"Graham","AZ",65827,5.9,59.2,46.5,8.1
"Greenlee","AZ",75956,3.6,80,30.3,2.4
"La Paz","AZ",53248,7.7,52.7,57.3,14.4
"Maricopa","AZ",98750,5,66.1,33.4,10.9
"Mohave","AZ",66362,7.4,56.3,56.3,9.4
"Navajo","AZ",59247,10.5,43,54.3,14.5
"Pima","AZ",80772,6.3,62.9,42.4,8.9
"Pinal","AZ",82413,6.4,63.4,42.9,9.2
"Santa Cruz","AZ",64691,9.9,43.7,53.5,12.1
"Yavapai","AZ",74262,5.4,62.1,50.1,10.6
"Yuma","AZ",68613,8.4,52.7,49.1,13.1
"Alameda","CA",148638,5,74.5,30.4,4.3
"Alpine","CA",114903,9.2,59.6,52.5,6.6
"Amador","CA",91269,6.8,69.6,48.7,4.7
"Butte","CA",84766,7.2,61.1,47.1,6.4
"Calaveras","CA",89521,6.8,62.9,49.6,6.6
"Colusa","CA",80856,5.5,56.9,45.1,8.4
"Contra Costa","CA",151026,5.8,74.6,32.9,4.7
"Del Norte","CA",69915,7.5,53.9,57.1,5.2
"El Dorado","CA",123342,4.7,76.6,37.7,4.1
"Fresno","CA",83892,8.8,53.7,49.2,7.3
"Glenn","CA",70801,7.1,56.3,47.4,10
"Humboldt","CA",75434,9.4,57.1,50.7,7.7
"Imperial","CA",66973,13.9,44.7,56,6.6
"Inyo","CA",78816,4.3,65.6,44.4,7.1
"Kern","CA",80195,8.9,51.5,48.7,8
"Kings","CA",77920,9.1,55,46.5,7.6
"Lake","CA",80886,10.1,50.3,60.8,6.7
"Lassen","CA",73074,6.9,66.7,44.1,5.8
"Los Angeles","CA",109499,7,58.9,39.1,9.1
"Madera","CA",83780,10.5,53.3,52.6,8.2
"Marin","CA",195569,5.2,79.1,33.3,3.5
"Mariposa","CA",70052,9.7,59.5,53.4,6.5
"Mendocino","CA",78750,8.5,49.3,55.3,9.7
"Merced","CA",79592,11.1,49.6,50.4,8.8
"Modoc","CA",61796,9.9,48,53.6,12
"Mono","CA",87835,2.4,69.7,30.6,12.5
"Monterey","CA",110295,5.5,57.2,42.5,9.9
"Napa","CA",136193,4.9,73.1,35.2,6
"Nevada","CA",103903,4.2,67,46.6,5.5
"Orange","CA",134820,5.4,68.6,33,7.1
"Placer","CA",127176,4.3,80.4,32.4,3.4
"Plumas","CA",80975,8.2,66.4,52,4.4
"Riverside","CA",100004,7.2,59.6,41.2,8.3
"Sacramento","CA",99141,6.6,66.2,40.3,5.4
"San Benito","CA",118804,7.1,68.2,36.4,6.4
"San Bernardino","CA",91380,7.5,56.7,42.3,8.5
"San Diego","CA",118474,6.6,69.4,33.6,7.5
"San Francisco","CA",178742,5.3,76.2,29.5,3.6
"San Joaquin","CA",97178,7.3,60.3,42.9,6.4
"San Luis Obispo","CA",107113,5.1,73.5,36.7,5.9
"San Mateo","CA",196442,4.6,80.2,27.5,3.8
"Santa Barbara","CA",120192,6.1,62.8,38.8,10.1
"Santa Clara","CA",189352,4.5,77.8,26.4,4.1
"Santa Cruz","CA",133176,6.4,71.6,35.4,5.4
"Shasta","CA",84215,6.5,61.1,47.7,6.8
"Sierra","CA",79957,9,61.2,38.7,15.5
"Siskiyou","CA",67989,7.9,53.9,57.5,6.5
"Solano","CA",111110,6,73.9,35.5,4.8
"Sonoma","CA",121206,5.1,72.5,36.2,5.9
"Stanislaus","CA",89007,8.4,58.4,44.7,6.1
"Sutter","CA",91829,7.6,59.9,45.4,6.6
"Tehama","CA",79138,8.1,55.1,53.5,6.5
"Trinity","CA",62784,5.8,50.4,57.5,10.5
"Tulare","CA",77575,10.2,45.3,54.8,7.7
"Tuolumne","CA",88355,8.1,66.8,45.7,6.5
"Ventura","CA",123929,5.6,67,34.9,8.4
"Yolo","CA",109841,5.6,73.6,32.2,4.5
"Yuba","CA",77817,6.5,57.6,47.6,7.1
"Adams","CO",95320,4.6,65.3,32.8,10.5
"Alamosa","CO",64002,5.5,50.9,49.7,10.3
"Arapahoe","CO",116119,4.6,72,29.8,8.3
"Archuleta","CO",82033,4.7,55.4,48.3,11.8
"Baca","CO",58414,2.7,53.8,54.6,7.5
"Bent","CO",51216,6.1,50.4,57.2,9.8
"Boulder","CO",128190,4.6,79.9,26,4.6
"Broomfield","CO",135789,3.3,81.8,22,5.8
"Chaffee","CO",79448,4.8,62.5,46.6,8.5
"Cheyenne","CO",80857,2.9,71.6,38.7,6.7
"Clear Creek","CO",108876,3.9,73.5,28.7,9.7
"Conejos","CO",52513,8,44.2,57.7,13.9
"Costilla","CO",48539,7.7,41.1,68.9,8.9
"Crowley","CO",46811,5.6,40.5,62.3,8.4
"Custer","CO",75488,5.5,58.9,53.9,11.6
"Delta","CO",72549,5.2,51.2,55.8,10
"Denver","CO",111981,4.6,66.9,31.3,9.6
"Dolores","CO",75728,3,66.9,50.2,7.3
"Douglas","CO",155800,3.5,86.6,19.1,3.6
"Eagle","CO",128398,3.9,73.3,26.2,10.1
"El Paso","CO",98007,6.1,71.6,35.1,7.3
"Elbert","CO",137039,2,77.6,29,6.3
"Fremont","CO",73735,4.7,58.4,51.9,7.8
"Garfield","CO",95877,3.9,58.2,32.8,16.8
"Gilpin","CO",144081,1.9,71.5,34.7,6.6
"Grand","CO",87840,5,68.3,30,14.3
"Gunnison","CO",85925,4.2,69.8,29.7,9.5
"Hinsdale","CO",72248,3.9,59.3,48.1,12.2
"Huerfano","CO",58181,5.3,48.9,62.2,7.1
"Jackson","CO",61447,9,54.8,50.4,9.3
