"county","state","mean_household_income","unemployment","private_insurance","public_insurance","no_insurance"
"Pike","GA",90069,4.3,68.4,28.1,13.9
"Polk","GA",62833,6.5,58.9,36.1,15.9
"Pulaski","GA",62762,4.8,63.1,49.2,9.2
"Putnam","GA",88251,4.3,63.3,46.2,11.8
"Quitman","GA",44314,21,46.1,48.3,23
"Rabun","GA",72239,4.2,58.4,49.1,13.8
"Randolph","GA",38240,9.6,36.6,57.8,11.7
"Richmond","GA",64114,9,58.7,41.1,12.9
"Rockdale","GA",83309,6.1,63.3,34.1,14.4
"Schley","GA",61403,6.7,58.2,36,14.1
"Screven","GA",62466,5.7,58.4,43.1,11.9
"Seminole","GA",67154,5.3,42.9,52,18.6
"Spalding","GA",83968,4.7,56.6,42.7,13.4
"Stephens","GA",62062,5.4,55,41.6,16.2
"Stewart","GA",55376,6.9,53.6,50,13.1
"Sumter","GA",54696,7.5,59.4,39.1,12
"Talbot","GA",59346,6.4,54.3,47.3,15.9
"Taliaferro","GA",51697,5.7,46.1,56.8,12.1
"Tattnall","GA",63382,7.4,58.1,38.8,16.9
"Taylor","GA",54844,6.8,51.4,47.7,14.4
"Telfair","GA",61154,1.6,46.6,53.6,11.1
"Terrell","GA",54586,7.4,45,45.6,18.9
"Thomas","GA",73266,5.6,61.2,39,13.4
"Tift","GA",66877,2.7,54.7,36,17.4
"Toombs","GA",66808,6,47.9,47.8,17
"Towns","GA",68951,5,65.5,45.7,14.3
"Treutlen","GA",57453,8.4,45.9,47.2,18.9
"Troup","GA",67186,4.9,66,34.9,10.7
"Turner","GA",51609,8.5,43.9,49.9,15
"Twiggs","GA",59019,3.1,63.6,43.9,11.5
"Union","GA",79565,3.1,58.3,49,12.5
"Upson","GA",60498,3.2,55.6,43.8,11.8
"Walker","GA",67170,6.6,58.8,38.9,14.7
"Walton","GA",87881,5,68.1,31.9,12
"Ware","GA",55639,4.5,46.5,45.5,17
"Warren","GA",59134,7.3,51.8,50.1,9.7
"Washington","GA",57922,4.1,53.6,47.8,12.5
"Wayne","GA",61727,4.7,54,41.4,16.5
"Webster","GA",49248,8.4,53.5,42.7,21.3
"Wheeler","GA",44738,5.3,34.2,46.2,24.7
"White","GA",77503,4,66.6,39.4,13.2
"Whitfield","GA",70819,6.6,58.9,32,18
"Wilcox","GA",53917,7.2,55.3,41.6,17.8
"Wilkes","GA",61691,2.3,56.1,42.4,14.9
"Wilkinson","GA",53681,8.2,53.8,46.7,11.9
"Worth","GA",68105,6.8,54.1,41,15.7
"Hawaii","HI",91885,6.9,66.2,46.4,5.1
"Honolulu","HI",118470,4.8,79.2,34.3,3.5
"Kalawao","HI",73452,0,70.5,29.5,0
"Kauai","HI",103577,4.4,69.2,40.8,5.1
"Maui","HI",114181,5.7,75,34.9,5.2
"Adair","IA",75875,4.7,71.8,40.8,5.2
"Adams","IA",85877,3.9,71.8,41.2,6
"Allamakee","IA",72509,3.5,68.4,42.5,6.8
"Appanoose","IA",64917,6.2,62,48.2,8.6
"Audubon","IA",66941,1.9,67.7,46.2,4.5
"Benton","IA",86433,2.6,79.2,33.3,3
"Black Hawk","IA",78398,5.2,71.5,38.5,4.5
"Boone","IA",87117,2.1,77.9,34.3,3.6
"Bremer","IA",88707,3.4,83.9,31.9,2.5
"Buchanan","IA",82576,2.5,74.5,34.8,6.1
"Buena Vista","IA",78087,5.9,67.8,38.6,7
"Butler","IA",75877,4.7,74.1,38.7,4.1
"Calhoun","IA",73981,2.4,70.8,45.2,3.6
"Carroll","IA",76233,2.3,72,40.7,3.1
"Cass","IA",74546,1.7,64.5,46.1,4.8
"Cedar","IA",83113,3.4,78.7,34.5,2.8
"Cerro Gordo","IA",77837,3.4,71.8,42.8,4
"Cherokee","IA",77638,2.8,72.3,41.5,5.8
"Chickasaw","IA",78983,2.1,74.6,35.1,7.8
"Clarke","IA",76090,3.3,67.9,45.7,5.9
"Clay","IA",68402,4.7,67.1,42,5.2
"Clayton","IA",73755,2.4,71.3,42.4,6.7
"Clinton","IA",75048,4.8,68.5,42.4,5.1
"Crawford","IA",69222,6.9,62.7,40.9,10.1
"Dallas","IA",120470,2.8,83.9,22.5,4.4
"Davis","IA",89446,3.1,50.9,32.8,29.4
"Decatur","IA",61017,4.2,65.4,42,7.7
"Delaware","IA",89206,2,81.2,31.4,3
"Des Moines","IA",75655,3.9,69,43.8,4
"Dickinson","IA",85749,2.4,71.3,39.1,5
"Dubuque","IA",88409,4.1,78.6,33.8,3.4
"Emmet","IA",69814,2.2,66.4,42.6,4.5
"Fayette","IA",66913,2.6,67.9,44,5
"Floyd","IA",72756,2.7,71.3,41.1,6.1
"Franklin","IA",68856,3.5,69,35.5,11.5
"Fremont","IA",77897,2.4,71.1,42.9,3.7
"Greene","IA",67177,4.6,75.1,41.5,3.2
"Grundy","IA",89503,2.7,79.6,32.3,2.9
"Guthrie","IA",84587,3.6,74.9,38.7,3.8
"Hamilton","IA",77932,3.8,71.9,39.2,3.7
"Hancock","IA",75699,2.4,74.7,36.9,4.2
"Hardin","IA",67769,2.9,73.1,38.4,4.3
"Harrison","IA",79880,2.6,73.7,35.2,3.7
"Henry","IA",71167,4.6,73,40.2,3.6
"Howard","IA",72613,1.8,70.3,38.3,8.5
"Humboldt","IA",75203,3.7,70.1,41.3,5.4
"Ida","IA",73805,1.5,71.1,39.8,5.2
"Iowa","IA",84645,3.9,78,34.6,2.7
"Jackson","IA",77582,4.3,74.6,38.6,4.4
"Jasper","IA",81387,4.6,76,38.9,3
"Jefferson","IA",72354,5,62.2,48.2,5.5
"Johnson","IA",95722,3.8,81.2,24.7,5.1
"Jones","IA",77611,4,73.5,41.5,2.5
"Keokuk","IA",73063,4.5,69,45.6,2.8
"Kossuth","IA",72755,3.9,68.5,42.6,4.3
"Lee","IA",68709,4.8,68.4,45.3,4.6
"Linn","IA",92119,3.9,75.7,32.9,4
"Louisa","IA",80646,4.5,72.5,36.1,5.9
"Lucas","IA",71902,3.9,66.9,46.5,7.4
"Lyon","IA",79191,2.9,78.1,33.2,4.6
"Madison","IA",98239,2.7,80.3,30.5,3.1
"Mahaska","IA",75692,3.5,70.7,37.8,5.1
"Marion","IA",85807,2.5,79.3,34.4,4
"Marshall","IA",75629,5.5,66.5,40.7,6.2
"Mills","IA",97522,3.3,76.6,35.9,3.2
"Mitchell","IA",76109,1.2,74.2,37.4,6.5
"Monona","IA",69420,2.6,64.3,48.7,5
"Monroe","IA",75267,3.2,74.2,37.2,4.2
"Montgomery","IA",77477,4.1,69,46.3,3.5
"Muscatine","IA",79500,3.7,72.8,36.4,3.7
"O'Brien","IA",72863,2.5,73.2,41.4,3.4
"Osceola","IA",75737,4.2,70.8,39,5.8
"Page","IA",62199,7.1,70.2,46.6,4.3
"Palo Alto","IA",74237,2.8,72.3,39.5,4.1
"Plymouth","IA",89895,2.3,77.4,30.7,5.6
"Pocahontas","IA",70662,5.6,67.7,44.4,4.8
"Polk","IA",94226,4.4,74.1,33.3,4.7
"Pottawattamie","IA",79056,3.8,68.7,39.4,5.4
"Poweshiek","IA",80128,5.5,77,35.1,4.1
"Ringgold","IA",71834,1.9,65.1,46.4,6.7
"Sac","IA",79728,3.2,68.7,45.9,4.6
"Scott","IA",92230,4.1,73,35.6,5.1
"Shelby","IA",86043,3.5,69.4,40.5,5.1
"Sioux","IA",89603,2.2,78.3,28.7,5.5
"Story","IA",83418,5.4,84.2,21.4,5.4
"Tama","IA",75007,4.6,68.6,41.3,7.6
"Taylor","IA",70437,3.3,70.8,41.1,6.4
"Union","IA",66797,6,68,41.5,8.2
"Van Buren","IA",74906,5.5,58.6,46.2,13.5
"Wapello","IA",66873,5,66.5,43.5,6.5
"Warren","IA",98201,3,82.9,29.6,2.1
"Washington","IA",79616,2.6,70.7,40.3,6.7
"Wayne","IA",72031,2.2,62.5,46.4,9.7
"Webster","IA",71464,3.1,67.8,41.1,6.7
"Winnebago","IA",72559,2.1,76.1,38.4,3.5
"Winneshiek","IA",83159,2.1,81.6,33.1,2.5
"Woodbury","IA",78306,4.4,65.2,41.1,6.6
"Worth","IA",79272,3.6,74.6,38,5.9
"Wright","IA",71297,2,70.7,43.3,4
"Ada","ID",101716,3.5,77.8,27.1,7.4
"Adams","ID",77054,9.7,62.8,43.9,11.6
"Bannock","ID",72228,5.2,70.4,34.5,8.4
"Bear Lake","ID",74431,4.2,74.6,32.7,7.6
"Benewah","ID",62704,4.4,57.2,45.5,12.7
"Bingham","ID",79611,5.4,66,36.1,10.7
"Blaine","ID",100650,2.4,62.5,33.7,12.2
"Boise","ID",74680,1.5,64.5,38.8,15.7
"Bonner","ID",75442,3.7,62.4,45.3,10.3
"Bonneville","ID",85495,4.2,70.1,32.9,8.7
"Boundary","ID",70926,4.1,57.1,41.1,16.9
"Butte","ID",59103,2.9,59.9,43.8,8.5
"Camas","ID",75164,2.4,51.1,41.6,13.8
"Canyon","ID",74703,4.4,62.7,36.9,12.6
"Caribou","ID",76059,2.7,72.7,31.6,11.8
"Cassia","ID",75336,3.1,65.2,34.7,11.6
"Clark","ID",52715,1.6,51.3,35.6,22.6
"Clearwater","ID",61627,5.8,58.7,46.6,13.9
"Custer","ID",54230,4.8,63.1,53.9,8.7
"Elmore","ID",61979,6.9,65.8,37.4,14.7
"Franklin","ID",74171,0.8,72.9,30.3,10.1
"Fremont","ID",70001,5.3,60.5,40.7,12.2
"Gem","ID",76538,3.7,63.4,40.6,13.8
"Gooding","ID",70696,5.6,57.8,37.1,18.2
"Idaho","ID",63103,4.2,56.5,43,16
"Jefferson","ID",83354,3.5,70.2,30.5,9.3
"Jerome","ID",77355,3.8,56.4,38.7,16.4
"Kootenai","ID",83688,3.6,70.4,35.4,9.9
"Latah","ID",76071,5.4,80.8,24.2,7.5
"Lemhi","ID",61716,3.5,59.9,51.7,9.1
"Lewis","ID",60662,3.6,55.8,50.3,12.4
"Lincoln","ID",66667,6.7,55,38.8,17.2
"Madison","ID",77337,6.5,72.2,30.4,6.6
"Minidoka","ID",68630,3.9,57.5,39.1,17.4
"Nez Perce","ID",80069,3.3,69.6,37.4,10
"Oneida","ID",68989,0.3,80.3,32.1,4.7
"Owyhee","ID",68384,2.9,53.3,38.3,21.5
"Payette","ID",76256,4.3,67.2,39.5,10.3
"Power","ID",66336,5.9,60.7,43.1,13.7
"Shoshone","ID",57416,6.3,50.1,48.5,15.8
"Teton","ID",91465,3.4,71,26.3,13.3
"Twin Falls","ID",77269,3.7,67,34.6,11.2
"Valley","ID",82031,0.7,65.2,41.7,11.6
"Washington","ID",57207,6.6,59.4,42.5,15.1
"Adams","IL",76259,4.2,69.9,38.9,4.5
"Alexander","IL",52409,10.6,43.1,58.8,10.3
"Bond","IL",71898,3.8,68.9,41,6.1
"Boone","IL",93405,8.2,72.1,35,6
"Brown","IL",69410,1.5,69.4,35.5,5.8
"Bureau","IL",75299,5.9,70.8,40.4,5.5
"Calhoun","IL",88930,4.1,71.6,40.1,1.3
"Carroll","IL",70684,5,66.8,44.2,6.3
"Cass","IL",68340,6.8,68.4,39.6,5.1
"Champaign","IL",80535,5.1,77.1,28.7,4.7
"Christian","IL",67861,5.4,69,43.1,4.2
"Clark","IL",78124,4.1,74.7,39.3,4.3
"Clay","IL",73060,5.6,64.7,45.8,5.9
"Clinton","IL",91452,3.4,78.2,31.2,5
"Coles","IL",71094,7.4,62.5,42.8,7.2
"Cook","IL",104880,7.3,65.7,34.2,9
"Crawford","IL",75568,3,70,41.9,5.8
"Cumberland","IL",78086,2.7,70.4,37,6.3
"De Witt","IL",73939,5.4,75.8,36.2,3.6
"DeKalb","IL",80426,7.4,74.2,31.6,4.9
"Douglas","IL",76171,3.3,60.5,34.3,16.5
"DuPage","IL",133288,4.8,80,25.1,5.3
"Edgar","IL",64991,5.4,65.1,45.5,4.7
"Edwards","IL",66327,8,68.7,41.9,6.9
"Effingham","IL",86133,2.6,70.5,36.8,5.1
"Fayette","IL",64006,4.2,60.2,45.8,8
"Ford","IL",72245,4.6,65.9,42.9,6.4
"Franklin","IL",61342,6.1,60.5,50.2,5.9
"Fulton","IL",73145,7.3,68.4,43.8,5
"Gallatin","IL",76488,8.1,65.6,50.2,3.2
"Greene","IL",75235,3.4,60.7,46.6,5.8
"Grundy","IL",98728,4.7,79.7,28.2,3.9
"Hamilton","IL",70784,5.4,70,41.2,5
"Hancock","IL",75120,4.7,70.9,42,4
"Hardin","IL",68378,6,58.3,55.4,7.5
"Henderson","IL",74603,7.3,72.8,42.5,4.1
"Henry","IL",80860,4.4,75.2,38.2,4.5
"Iroquois","IL",72196,5.6,66.7,42.9,6
"Jackson","IL",64120,8.6,66.6,39.5,7.1
"Jasper","IL",73667,4.7,69.3,38.8,6.8
"Jefferson","IL",71322,6.8,63.1,45.7,7.1
"Jersey","IL",90878,4.6,73.3,33.3,5.1
"Jo Daviess","IL",77817,3.1,71.8,43,5.3
"Johnson","IL",73716,3.9,67.7,47.2,5.4
"Kane","IL",115083,5.2,73.3,29.1,7.9
"Kankakee","IL",78587,5.4,69,37.6,5.4
"Kendall","IL",115448,4.3,82.9,22,4.1
"Knox","IL",62348,5.2,67.7,43.7,5.6
"LaSalle","IL",79253,5.8,71.6,39.7,4.1
"Lake","IL",136312,5.5,76,27.8,6.6
"Lawrence","IL",74047,6.4,64.2,43.4,8.5
"Lee","IL",76253,3.6,74.8,38.1,3.8
"Livingston","IL",76526,4.5,71,38.8,4.9
"Logan","IL",79647,5.6,75.2,37.9,3.4
"Macon","IL",76180,8.1,68.3,42.6,4.7
"Macoupin","IL",73916,4.9,66,44.4,4
"Madison","IL",86134,5.3,73.2,35.3,5
"Marion","IL",67204,9,60.1,49.5,6.9
"Marshall","IL",71574,4.2,72.7,40.9,4.2
"Mason","IL",71207,5.2,68,45.7,5.4
"Massac","IL",66140,4.4,61.5,44.3,6.7
"McDonough","IL",63009,8.6,70.7,36,6.7
"McHenry","IL",115692,5.1,79.9,25.9,4.9
"McLean","IL",92126,3.2,78.8,26.6,4.4
"Menard","IL",93477,5.1,78.6,34.6,2.5
"Mercer","IL",74605,4.2,74.6,36.3,5.6
"Monroe","IL",110395,2.4,85.7,26,2.7
"Montgomery","IL",71899,4.6,72.8,40.8,3.9
"Morgan","IL",72187,6.3,69,41.4,4.4
"Moultrie","IL",80594,3.8,65.7,33.6,14
"Ogle","IL",80935,6.5,73.8,35.8,5.2
"Peoria","IL",83652,7.3,68,38.8,6.6
"Perry","IL",65926,4.7,66.4,50,3.7
"Piatt","IL",90616,4.6,79.9,31.2,3.9
"Pike","IL",65686,5.9,63.2,45.5,5.7
"Pope","IL",58660,7.6,51.3,59.1,3.8
"Pulaski","IL",57467,6.3,48.7,54.8,7.3
"Putnam","IL",78688,4,78.9,37.9,3.6
"Randolph","IL",71696,4.7,71.3,41.2,5.6
"Richland","IL",70327,4.7,64.4,45.9,4.3
"Rock Island","IL",74859,6.6,68.1,40.7,6.2
"Saline","IL",71016,7.4,62.2,49.9,6.4
"Sangamon","IL",87022,5.4,74.1,37.5,3.9
"Schuyler","IL",71766,6.5,63.3,44.9,6.3
"Scott","IL",74603,4.1,68.3,42.4,4.2
"Shelby","IL",71059,3.8,73.2,39.8,3.7
"St. Clair","IL",81455,5.7,69.1,39.1,6.1
"Stark","IL",71337,3.6,67.2,43.5,5.3
"Stephenson","IL",69204,6.8,61.5,47,6.1
"Tazewell","IL",85916,4.3,75,35.8,4.9
"Union","IL",68909,7,61,47.1,5.5
"Vermilion","IL",64866,6.6,60.7,48.7,5.8
"Wabash","IL",70128,4.7,68.3,45.9,5.8
"Warren","IL",73456,8.4,66.4,41.5,5.7
"Washington","IL",80047,5,77.8,35.2,2.7
"Wayne","IL",64141,3.9,61.2,42.8,11.4
"White","IL",66148,3.6,63.6,46,6.9
"Whiteside","IL",76215,4.1,70,39.5,5.7
"Will","IL",116288,5.2,78.3,26.6,5.4
"Williamson","IL",73876,4.7,67.4,42,5.7
"Winnebago","IL",75845,7.9,64,43.1,6.5
"Woodford","IL",98120,3.5,81,29.3,4.3
"Adams","IN",68216,3,63.7,27.8,19.5
"Allen","IN",80526,5,69.3,33.6,8.2
"Bartholomew","IN",88405,3.8,73.8,31.6,6.6
"Benton","IN",69330,4,63.4,41.5,7.8
"Blackford","IN",61505,4.6,67.9,45.4,5.3
"Boone","IN",132865,3.2,81.2,22.6,4.8
"Brown","IN",85277,4.9,68.8,40.3,8.2
"Carroll","IN",75623,3.4,67.6,35.6,10.1
"Cass","IN",65382,4.4,68.8,37.1,8.6
"Clark","IN",77953,4,72.4,33.8,6.5
"Clay","IN",77956,4.7,73.6,36.1,4.8
"Clinton","IN",66112,3.6,67.6,33.9,10.4
"Crawford","IN",59977,3.3,57.2,49.5,7.8
"Daviess","IN",74137,2.6,56.4,30.4,25.7
"DeKalb","IN",75038,3.9,72.2,30.7,7.5
"Dearborn","IN",85926,3.1,75.3,33.7,4.6
"Decatur","IN",78184,4,76.4,30.4,5.2
"Delaware","IN",64485,6.4,67.8,39.5,7.2
"Dubois","IN",79356,2.2,78.5,28.3,4.5
"Elkhart","IN",78022,4.4,62.6,32.5,14.8
"Fayette","IN",60004,4.9,61.1,45.4,8.4
"Floyd","IN",88645,4.1,75.5,32.6,5.1
"Fountain","IN",65584,4.9,67.7,39.1,9.6
"Franklin","IN",82745,2.3,75.6,33,6.3
"Fulton","IN",72201,6.5,66.1,37.8,10.3
"Gibson","IN",71693,2.8,77.9,32.3,5.2
"Grant","IN",63342,7.4,62.6,44.9,7.3
"Greene","IN",69546,6,69.4,41.9,6.4
"Hamilton","IN",140553,3,85.9,18.9,4.5
"Hancock","IN",96283,3,81,26.7,5.8
"Harrison","IN",79323,4.6,72.6,36.1,5.9
"Hendricks","IN",109086,2.6,82.2,23.4,5.6
"Henry","IN",68804,4.8,66.7,43.9,6.3
"Howard","IN",73500,5.6,71.1,38.7,6.7
"Huntington","IN",71376,2.6,73.1,33.2,6.2
"Jackson","IN",72868,4.1,68.9,34.2,9.7
"Jasper","IN",78870,4.3,72.4,37.3,5.5
"Jay","IN",65821,4.2,61.2,41.4,9.8
"Jefferson","IN",72815,3.7,70.1,36.4,7.6
"Jennings","IN",73637,4.2,67.3,36.3,10.8
"Johnson","IN",98065,3.5,78.2,28.5,5.8
"Knox","IN",71606,3.5,70.8,36.7,7.9
"Kosciusko","IN",81368,3.6,70.2,31.2,11.1
"LaGrange","IN",87348,3.4,40.4,22.6,44.9
"LaPorte","IN",75185,5.4,68,39.2,7.1
"Lake","IN",80227,7.1,67.1,38,7.1
"Lawrence","IN",71560,3.9,72.5,38.9,7.3
"Madison","IN",67856,5.8,63.1,44.5,8.2
"Marion","IN",76109,5.6,62.8,37.2,9.8
"Marshall","IN",75845,3.6,67.1,32,11.8
"Martin","IN",67405,2.3,75,35.4,7.6
"Miami","IN",67668,4.8,68.2,40.7,9.3
"Monroe","IN",74289,6.4,76.7,27,6.1
"Montgomery","IN",73717,4.1,72.7,34.9,7.4
"Morgan","IN",87036,4.3,72.6,34.2,5.9
"Newton","IN",70925,8.6,70.7,38.2,6.3
"Noble","IN",74739,3.5,69.7,31.6,10.7
"Ohio","IN",75340,1.4,73,35.9,7.5
"Orange","IN",70263,3.2,65.9,41.7,7.7
"Owen","IN",67909,5.8,60.5,42.4,11.2
"Parke","IN",70913,6.4,59.8,41,13.3
"Perry","IN",66363,3.6,73.4,37.1,5
"Pike","IN",69440,3.6,74.2,37,4.1
"Porter","IN",95694,4.4,78.3,30.2,4.9
"Posey","IN",83273,3.2,75.5,31.5,4.8
"Pulaski","IN",64519,5.3,68.3,38.2,8.3
"Putnam","IN",74738,2.1,75.7,32.8,5.6
"Randolph","IN",67005,5.9,65.7,42.5,7.5
"Ripley","IN",81422,4.3,71.6,33.1,8.6
"Rush","IN",67497,6.6,68.1,38.5,7.9
"Scott","IN",58880,4.6,63.7,44.1,5.6
"Shelby","IN",77637,3.3,69.7,37.2,5.7
"Spencer","IN",82579,3.3,74.8,35.7,3.9
"St. Joseph","IN",80307,4.8,69,34.2,7.5
"Starke","IN",67627,5.7,62,45.3,5.9
"Steuben","IN",78878,6.6,70.8,38.1,6.1
"Sullivan","IN",64968,5.6,62.5,42.7,10.4
"Switzerland","IN",66004,4.9,60.6,41.7,12.8
"Tippecanoe","IN",73422,3.9,78.1,24.3,6.1
"Tipton","IN",79467,3.3,73.3,35.3,9.2
"Union","IN",74769,3.8,69.4,32.9,8.7
"Vanderburgh","IN",73216,4.7,67.7,37.7,7.6
"Vermillion","IN",66975,7.5,67.8,43.3,4.7
"Vigo","IN",66930,6.6,66.1,40.1,7.2
"Wabash","IN",69377,3.9,71.6,36,7.7
"Warren","IN",84094,2.6,72.7,37.2,4.7
"Warrick","IN",110141,3.6,81.6,27.3,3.8
"Washington","IN",67691,3.7,63.2,38.9,9.5
"Wayne","IN",67980,4.6,60.6,43.4,10.6
"Wells","IN",75968,2.4,75.4,31.6,6.9
"White","IN",71845,5,72,36.6,8.1
"Whitley","IN",82298,5,75.8,30.3,6.9
"Allen","KS",61304,6,68.9,39.1,7
"Anderson","KS",71355,6,66.1,37.5,13.3
"Atchison","KS",66689,4.4,75.5,32.9,8.2
"Barber","KS",78113,2.3,75.6,28.6,10.3
"Barton","KS",65397,3.8,67.1,34.6,12.8
"Bourbon","KS",63447,3.6,65.2,39.5,10.4
"Brown","KS",66557,5.4,68.5,38,9.2
"Butler","KS",86879,3.4,78,27.4,7.1
"Chase","KS",67761,0.7,74.1,37.5,9.6
"Chautauqua","KS",58925,8.2,63.1,43.2,13.2
"Cherokee","KS",57884,1.4,65.6,40.1,9.8
"Cheyenne","KS",65295,2.5,70.9,36,12.8
"Clark","KS",70102,1.1,80.3,31.5,5.1
"Clay","KS",63116,2.1,77.8,42.4,5.2
"Cloud","KS",64870,4.6,70.6,34.4,9.4
"Coffey","KS",79316,4.3,73.3,34.7,9.3
"Comanche","KS",63188,3.7,81,31.2,7.6
"Cowley","KS",71385,5.8,70.6,34.1,9.5
"Crawford","KS",61290,4,65.7,34.5,11.6
"Decatur","KS",62916,4.3,74.3,37.5,9.8
"Dickinson","KS",77315,3,73.6,34.6,9.6
"Doniphan","KS",68323,1.9,72.2,32.8,9.2
"Douglas","KS",84103,4.4,80.7,22.9,7.1
"Edwards","KS",62328,2.4,70.3,35.9,8.4
"Elk","KS",59180,5,63.5,48.7,10.9
"Ellis","KS",83959,3.6,79,26.7,5.8
"Ellsworth","KS",68312,3.8,74.5,37.3,5.5
"Finney","KS",77479,5.2,69.4,26.1,12.9
"Ford","KS",77562,3.7,69.9,24.7,13.9
"Franklin","KS",75177,2.8,75.7,31.2,7.6
"Geary","KS",64582,4.6,78.2,28.1,8
"Gove","KS",69039,3.3,66.7,36.8,12.6
"Graham","KS",58154,4,74.4,39.9,7
"Grant","KS",91037,2.5,67.3,24.4,15
"Gray","KS",84941,1.8,73.2,24.8,13.6
"Greeley","KS",73233,0,76.9,30.3,8.9
"Greenwood","KS",67212,2.3,69.3,41.3,9.1
"Hamilton","KS",62547,0,55.3,30.1,23.1
"Harper","KS",62623,4.2,68,42.5,10.1
"Harvey","KS",75660,3.5,72.9,32.5,8.4
"Haskell","KS",86630,3.2,68.4,27.6,17.4
"Hodgeman","KS",73560,4.5,76.9,31.4,10.2
"Jackson","KS",70911,4,75.6,34.5,8.6
"Jefferson","KS",87598,3.7,81.6,29.2,4.9
"Jewell","KS",64271,1.3,69.3,43.7,7.1
"Johnson","KS",127712,3.1,84,20.5,5.8
"Kearny","KS",77194,2.1,62.9,35,13.9
"Kingman","KS",74185,3.5,72.5,35.3,9.2
"Kiowa","KS",68518,3.7,71.2,32.9,12.2
"Labette","KS",65170,3,63.9,40,10.2
"Lane","KS",66046,0.2,76.7,26,14.9
"Leavenworth","KS",96091,5.2,80.2,30.7,6
"Lincoln","KS",62062,2.4,74,37.2,6.6
"Linn","KS",71261,4.4,70.7,38.5,9.9
"Logan","KS",80647,0.8,72,37.9,8.8
"Lyon","KS",66512,3.4,72.4,29.7,9.5
"Marion","KS",71861,4.7,73.7,36.4,6.5
"Marshall","KS",74395,2.6,77.4,34.3,6.4
"McPherson","KS",78369,1.6,78,30.3,6.2
"Meade","KS",113325,1.7,72.2,29.7,12.4
"Miami","KS",98488,2.9,79.5,26.1,7
"Mitchell","KS",65128,1.8,74.6,38.2,6.4
"Montgomery","KS",61208,4.5,62.6,40.3,12.5
"Morris","KS",67309,3.3,72,39.4,8.3
"Morton","KS",63369,2.2,67.8,31.1,13.9
"Nemaha","KS",85397,1.7,80.3,28.2,5.1
"Neosho","KS",65808,4.7,68.7,34.2,11.5
"Ness","KS",79257,0.7,77.9,31.8,7.5
"Norton","KS",76880,1.4,72.1,33.4,9.6
"Osage","KS",71515,3.3,71.4,35.6,9.3
"Osborne","KS",68574,2.7,75,37.1,5.8
"Ottawa","KS",79667,4.1,73,34.4,8.5
"Pawnee","KS",68719,1.3,69.3,37.8,10.3
"Phillips","KS",68669,3.7,71.5,37.3,6.9
"Pottawatomie","KS",88470,2.1,83.4,26.7,4.6
"Pratt","KS",75195,2.9,74.1,34.9,8.2
"Rawlins","KS",68570,0.6,71,41.7,7.6
"Reno","KS",69747,4.2,71.2,35.4,9.2
"Republic","KS",63568,1,77,40.2,4.6
"Rice","KS",69046,4.8,75.4,31,7.4
"Riley","KS",76348,4.9,84,21.7,6.1
"Rooks","KS",69484,2,72.7,39.8,6.2
"Rush","KS",70775,3.4,80.9,35.8,4.7
"Russell","KS",65403,4.6,68.2,36,11.1
"Saline","KS",71419,3.6,72.8,33,8.9
"Scott","KS",70482,0.3,76.1,35.5,6.2
"Sedgwick","KS",81358,5.6,69.4,32,10.7
"Seward","KS",66431,3.6,66,27.4,14.5
"Shawnee","KS",78368,4,75.5,33,7.7
"Sheridan","KS",95944,1.9,81.7,30.2,6
"Sherman","KS",76989,4.1,67.8,42.8,7.9
"Smith","KS",67452,2.5,71.2,39.2,7.8
"Stafford","KS",72945,3.8,72.4,33.2,10.4
"Stanton","KS",76209,3.6,58.6,39.3,16
"Stevens","KS",69552,6.8,67.5,27.1,16.6
"Sumner","KS",70498,6.3,73.2,33.1,9.1
"Thomas","KS",87389,1.4,75.7,27.6,8.4
"Trego","KS",85624,2,77.2,40.2,7.4
"Wabaunsee","KS",80733,2.2,76.4,33.3,8.3
"Wallace","KS",70309,0.8,76.8,39.7,4.2
"Washington","KS",67470,2.3,75.9,35.4,5.8
"Wichita","KS",74143,5.1,71.8,35,10.6
"Wilson","KS",70973,4.3,71,41.5,5.9
"Woodson","KS",63522,7.2,69.5,40.9,9.3
"Wyandotte","KS",66322,6,54.9,36.4,17.3
"Adair","KY",60663,6.7,56.6,50.1,6
"Allen","KY",63024,7.6,59.7,47.1,8.2
"Anderson","KY",77985,5.1,71.1,40.3,3.1
"Ballard","KY",74513,5.5,60.3,49.3,5
"Barren","KY",60462,6.4,55.6,48,8.9
"Bath","KY",71972,2.9,53.1,54.6,7
"Bell","KY",43220,9.2,40.5,67.1,5.7
"Boone","KY",103177,3.4,77.8,28.9,5.2
"Bourbon","KY",75239,5.1,67.6,43.2,3.7
"Boyd","KY",68567,8.5,58.9,53.1,5.8
"Boyle","KY",71061,6.2,66.2,44.4,6
"Bracken","KY",72562,4.6,66.5,45.5,3.8
"Breathitt","KY",49166,9.4,42.3,65.3,3.5
"Breckinridge","KY",65695,7.7,61.8,50.1,5.3
"Bullitt","KY",80413,4.7,74.6,36.8,3.5
"Butler","KY",58784,5.5,55.7,49.8,9.7
"Caldwell","KY",70179,5.1,63.3,42.5,9.6
"Calloway","KY",62766,4.6,67.2,40.8,6.6
"Campbell","KY",91974,4.1,76.1,31.4,3.8
"Carlisle","KY",69442,3.1,48.7,57.4,7.4
