"county","state","total_population","males","females","old_85","children","old_65","white_pct","black_pct"
"Mobile","AL",414620,47.9,52.1,1.6,23.6,16.3,57.4,36.1
"Monroe","AL",20115,47.8,52.2,1.8,21.6,20.3,54.1,42.2
"Montgomery","AL",229072,47.3,52.7,1.8,23.7,15.1,33.9,58.5
"Morgan","AL",122608,49.5,50.5,2,23.2,17.5,77.6,13.1
"Perry","AL",8702,46.1,53.9,1.6,21.2,19.6,29.5,70.1
"Pickens","AL",19240,47.8,52.2,2.5,19.1,18.9,57.2,40.1
"Pike","AL",33176,48,52,2,19.3,15.2,57.2,36.5
"Randolph","AL",21984,48.9,51.1,2.2,21.5,20.9,77.1,18.6
"Russell","AL",58695,48.3,51.7,1.1,24,14.4,47.2,44.7
"Shelby","AL",220780,48.6,51.4,1.3,23.4,15.6,78.7,12.6
"St. Clair","AL",90412,50,50,1.1,22.7,16.7,86.2,9.5
"Sumter","AL",12482,46.1,53.9,1.5,19.4,18.8,25.7,71.3
"Talladega","AL",81850,48.4,51.6,1.3,21,17.8,63,32.2
"Tallapoosa","AL",41284,48.9,51.1,2.1,20.8,21.5,69.3,27.3
"Tuscaloosa","AL",223945,48.4,51.6,1.1,21.2,13.4,62.5,32.2
"Walker","AL",65194,49.5,50.5,2.2,22.4,19.2,88.6,5.9
"Washington","AL",15574,51.5,48.5,0.9,20.8,20.6,65.8,23.8
"Wilcox","AL",10686,46.4,53.6,1.9,23.7,19.8,27.2,70.8
"Winston","AL",23650,50,50,1.5,20.4,21.5,94.1,0.9
"Arkansas","AR",17273,49.2,50.8,1.8,23.3,19.3,71.2,25.7
"Ashley","AR",19362,48.6,51.4,2.8,22.9,20.5,71.6,25.1
"Baxter","AR",41476,48.9,51.1,3.1,17.8,30.5,94.3,0.3
"Benton","AR",278774,50.1,49.9,1.4,26.3,13.3,77.3,1.8
"Boone","AR",37445,49.5,50.5,2.8,22.9,20.6,95.4,0.2
"Bradley","AR",10597,47.4,52.6,2.2,24.7,18,63.5,26.3
"Calhoun","AR",4811,50.9,49.1,1.2,19,20.4,74.9,22.2
"Carroll","AR",28154,50.4,49.6,1.9,22,22.8,84.9,0.5
"Chicot","AR",10405,50.1,49.9,2.6,22.2,20.8,42.8,53.6
"Clark","AR",21569,47.4,52.6,1.7,19.2,16.2,69.9,24.4
"Clay","AR",14661,48.3,51.7,2.2,21.8,21.3,95,0.6
"Cleburne","AR",24848,50,50,3.2,19.2,26.7,95.6,0.3
"Cleveland","AR",7632,46.4,53.6,2.1,20.6,20.5,84.2,14.5
"Columbia","AR",22947,48.6,51.4,2.8,21.1,16.7,61.6,35.8
"Conway","AR",20687,49.6,50.4,2.6,22.8,19.2,84.3,10.4
"Craighead","AR",109875,48.8,51.2,1.6,25.1,13.6,76.5,15.5
"Crawford","AR",60483,49.4,50.6,1.4,24.6,16.7,87.6,1.6
"Crittenden","AR",48338,47.8,52.2,1.3,27.3,13.8,42,49.5
"Cross","AR",16935,48.3,51.7,1.3,23.7,18.5,72.9,15.7
"Dallas","AR",6645,48.4,51.6,2.8,21.6,23.4,53.5,43.3
"Desha","AR",11530,46.6,53.4,2.1,25.8,18.8,48.8,48.2
"Drew","AR",17511,48.2,51.8,1.5,21.8,17.7,68.4,28.9
"Faulkner","AR",123191,48.9,51.1,1.1,23.1,12.5,81.2,11.8
"Franklin","AR",17159,49.5,50.5,2.7,23.3,19.5,91.8,0.8
"Fulton","AR",12072,49,51,2.5,21.2,25.6,93.6,0.3
"Garland","AR",99694,48.3,51.7,2.5,20.2,23.4,85,8.3
"Grant","AR",17912,50.1,49.9,1.1,22.6,17.8,93.1,2.2
"Greene","AR",45665,49.5,50.5,1.6,24.6,15.8,92.7,2.4
"Hempstead","AR",20352,46.9,53.1,0.9,25.5,17.8,55.4,30.3
"Hot Spring","AR",33096,52.5,47.5,1.3,21.7,18.7,84.5,11.2
"Howard","AR",12894,48,52,1.7,26.4,17.5,65.6,20.5
"Independence","AR",37796,49.6,50.4,2.4,23.8,17,86.7,1.9
"Izard","AR",13653,52.4,47.6,2.2,18.4,24.7,90,0.9
"Jackson","AR",16878,49.7,50.3,1.8,20,17.7,76.6,10.9
"Jefferson","AR",68199,49.7,50.3,1.9,22,17.5,39,55.8
"Johnson","AR",25853,49.8,50.2,1.6,24.6,16.2,87.4,1.6
"Lafayette","AR",6373,51.4,48.6,2,19.4,23.6,59.2,35.6
"Lawrence","AR",16292,50.1,49.9,2.7,22.4,18.8,94,1.3
"Lee","AR",8832,56.9,43.1,2.6,18.7,19.2,42.2,54.9
"Lincoln","AR",13092,63.2,36.8,1.5,16.6,15.5,65.2,29.9
"Little River","AR",12104,49.1,50.9,1.3,22.5,20.7,73.2,20.3
"Logan","AR",21299,49.3,50.7,1.7,21.8,19.6,89.7,1.4
"Lonoke","AR",73824,49.5,50.5,1.6,25.6,13.7,87.7,5.6
"Madison","AR",16496,51.2,48.8,1.7,23.2,19.1,87.2,0.1
"Marion","AR",16750,49.3,50.7,2,18.4,27.8,95.4,0.8
"Miller","AR",42875,49.6,50.4,1.1,23.8,16.5,69.4,25.5
"Mississippi","AR",41061,49.1,50.9,1.7,26.2,14.6,59.1,34.8
"Monroe","AR",6903,48.1,51.9,3.5,21.6,22.9,54.2,42.9
"Montgomery","AR",8525,50.5,49.5,2.4,18.4,26.8,92.2,0.5
"Nevada","AR",8340,49.8,50.2,3.3,22.7,20.5,62.8,35.3
"Newton","AR",7343,49.8,50.2,1.6,20.1,26.5,92.6,0.1
"Ouachita","AR",22858,48.9,51.1,2.6,22.7,20.4,56.7,42.1
"Perry","AR",10056,50.8,49.2,2.2,23.1,19.9,92,2.5
"Phillips","AR",16923,46.5,53.5,2,26.5,18.9,34.7,63.8
"Pike","AR",10234,49.5,50.5,1.9,21.7,20.1,88.8,4
"Poinsett","AR",23212,49,51,2.4,24.1,17.9,86.3,4.1
"Polk","AR",19476,49,51,2.2,23.1,22.6,89.8,0.4
"Pope","AR",63234,49.6,50.4,2.1,22.9,15.4,87.6,2.5
"Prairie","AR",8306,50.5,49.5,2.3,21,23.3,85.6,11
"Pulaski","AR",397931,47.9,52.1,2.1,23.4,15.6,53.7,37.3
"Randolph","AR",18442,50.6,49.4,2.2,24.1,19.5,91.2,1
"Saline","AR",122308,49.1,50.9,1.6,23.4,17.8,86,8.1
"Scott","AR",9928,53.4,46.6,1.4,23.6,20.2,85.7,2.9
"Searcy","AR",7872,50.7,49.3,2.7,20.1,25.2,90,0.4
"Sebastian","AR",127941,49.2,50.8,2.1,24.1,16,71.6,6.1
"Sevier","AR",16074,50.1,49.9,0.9,28.8,13.9,60.7,2.9
"Sharp","AR",17243,49.5,50.5,3.4,21.1,25,93.4,1
"St. Francis","AR",23623,56.1,43.9,1.3,21.3,16.5,40,53.4
"Stone","AR",12364,49.3,50.7,2.9,20,26.8,91.8,0.1
"Union","AR",39262,48.7,51.3,1.7,24.2,17.7,63.6,32.7
"Van Buren","AR",15851,49.4,50.6,3.1,19.3,25.7,93.9,1
"Washington","AR",242793,50.3,49.7,1.2,24.3,11.7,72.8,3.4
"White","AR",77075,48.9,51.1,1.4,23.4,16,89.6,4.5
"Woodruff","AR",6333,48.4,51.6,2.4,21.7,23.6,69.6,28.4
"Yell","AR",20489,50.9,49.1,2.2,24.2,17.2,76.6,1.8
"Apache","AZ",66473,49.7,50.3,1.4,27,15.4,20.9,0.9
"Cochise","AZ",125092,51,49,2.4,21.5,22.5,76.7,3.9
"Coconino","AZ",144942,49.4,50.6,0.9,20.4,12.9,60.2,1.4
"Gila","AZ",53211,49.9,50.1,3.3,20,28.8,70.8,0.8
"Graham","AZ",38145,53.6,46.4,1.8,26.6,13.8,73.4,2
"Greenlee","AZ",9542,53.5,46.5,0.5,27.4,12.9,86,1.9
"La Paz","AZ",16845,51.8,48.2,2.9,16.5,39.6,65.9,0.6
"Maricopa","AZ",4367186,49.7,50.3,1.7,23.7,15.2,70.5,5.6
"Mohave","AZ",211274,50.7,49.3,2.6,17,30.4,85.6,1.1
"Navajo","AZ",106609,50.5,49.5,1.5,26.6,18.2,46.2,1
"Pima","AZ",1035063,49.4,50.6,2.2,20.8,19.8,69.6,3.4
"Pinal","AZ",420625,52.1,47.9,1.6,22.6,20.4,73.1,4.6
"Santa Cruz","AZ",47463,48,52,2.1,27.1,18,64.9,0.5
"Yavapai","AZ",233789,49.2,50.8,3.2,16.2,31.9,86.8,0.6
"Yuma","AZ",202944,51.7,48.3,2.1,25.4,19,66.5,2.1
"Alameda","CA",1673133,49.5,50.5,1.8,20.6,14,35.9,10.2
"Alpine","CA",1344,54.4,45.6,1.2,21.5,28.2,59.2,0.6
"Amador","CA",40095,54.8,45.2,3.1,15.2,26.7,81.8,2.5
"Butte","CA",217884,49.6,50.4,1.9,20.3,18,77.8,1.8
"Calaveras","CA",45349,49.8,50.2,2.6,17,28,84.6,1
"Colusa","CA",21780,51.2,48.8,2.9,27.3,14.6,68.8,1.7
"Contra Costa","CA",1161643,49.2,50.8,1.9,22.7,15.8,50,8.6
"Del Norte","CA",27655,53.4,46.6,1.6,21.7,17.9,69.4,3
"El Dorado","CA",190568,50,50,2.2,20,21.5,84.7,0.9
"Fresno","CA",1003150,50.1,49.9,1.5,28.5,12.1,54.3,4.5
"Glenn","CA",28675,50.7,49.3,1.6,27.1,16.2,75,0.6
"Humboldt","CA",137014,49.9,50.1,1.9,19.2,18.1,76.3,1.3
"Imperial","CA",180051,51.5,48.5,1.6,28.8,12.8,48,2.7
"Inyo","CA",18804,50.8,49.2,2.9,21.3,23.2,74,0.5
"Kern","CA",905644,51.4,48.6,1.2,29,10.9,62.3,5.4
"Kings","CA",151887,55.2,44.8,1.1,27.2,10.3,56.9,6.6
"Lake","CA",67749,50.3,49.7,2.2,21.4,22.7,73,2.4
"Lassen","CA",32949,64.8,35.2,1.6,16.4,14.7,75.7,8.6
"Los Angeles","CA",10019635,49.5,50.5,1.9,21.6,13.7,43.7,7.9
"Madera","CA",156304,48.6,51.4,1.6,27.6,13.9,55,3
"Marin","CA",262387,49.2,50.8,2.7,20,22.4,75.3,2.3
"Mariposa","CA",17225,51.2,48.8,3.3,16.8,28.2,85.8,0.9
"Mendocino","CA",91534,49.7,50.3,2,21.4,22.4,77.3,0.7
"Merced","CA",279150,50.8,49.2,1.2,29.6,11.1,46.2,2.9
"Modoc","CA",8723,50.3,49.7,3.7,19.6,28.1,85,2
"Mono","CA",13291,54.8,45.2,0.5,19.9,15,80.3,0.1
"Monterey","CA",438953,51.1,48.9,1.8,26.3,13.7,43.3,2.5
"Napa","CA",138795,50.1,49.9,2.3,20.5,19.3,67,2.1
"Nevada","CA",102090,49.5,50.5,3,17.2,27.5,90.5,0.4
"Orange","CA",3182923,49.6,50.4,2,22,14.8,53.6,1.7
"Placer","CA",400330,49.2,50.8,2.5,22.3,19.4,77.8,1.6
"Plumas","CA",19631,50.5,49.5,2,17.4,28.3,88.6,1.7
"Riverside","CA",2409331,50.1,49.9,1.6,25.2,14.3,51.2,6.5
"Sacramento","CA",1571767,49.2,50.8,1.8,23.7,14.1,52.1,9.7
"San Benito","CA",63329,50.5,49.5,1.6,26,12.7,62.7,1
"San Bernardino","CA",2171071,50,50,1.2,26.4,11.6,50.7,8
"San Diego","CA",3296317,50.6,49.4,1.8,21.7,14.1,62,4.9
"San Francisco","CA",865933,51.2,48.8,2.5,13.6,15.9,43.4,5.2
"San Joaquin","CA",771406,50.1,49.9,1.5,27.2,12.6,46.5,7
"San Luis Obispo","CA",282771,50.8,49.2,2.3,17.8,20.2,79.9,1.5
