"county","state","total_population","males","females","old_85","children","old_65","white_pct","black_pct"
"Lafayette","FL",8343,61.7,38.3,1.6,19.1,16.2,77.2,16.6
"Lake","FL",375059,48.7,51.3,3,19.3,26.3,77.2,10.5
"Lee","FL",752251,49.2,50.8,3.2,17.7,28.4,78,8.1
"Leon","FL",290965,47.5,52.5,1.4,18.8,13.6,59.1,31
"Levy","FL",42392,48.9,51.1,2.2,19.7,24.5,85.1,8.4
"Liberty","FL",7987,56.9,43.1,0.9,18.9,13.9,78.1,14.9
"Madison","FL",18051,54.4,45.6,2.1,18.7,20.7,56.7,36.8
"Manatee","FL",394824,48.6,51.4,3.3,18.2,27.5,80.8,8.3
"Marion","FL",370372,48.2,51.8,3.2,18.9,28.5,77.6,12.6
"Martin","FL",158323,49.6,50.4,4.4,16.4,31,85,5.6
"Miami-Dade","FL",2690113,48.9,51.1,2.3,20.5,16.2,56.5,16.3
"Monroe","FL",82244,52.3,47.7,2.1,15.5,22.5,79.9,7.2
"Nassau","FL",88492,49.7,50.3,1.5,19.9,22.3,88.5,5.5
"Okaloosa","FL",209230,51,49,1.5,22.4,15.8,75.7,9.6
"Okeechobee","FL",39716,54,46,2.4,21.6,19.6,79,8.6
"Orange","FL",1409949,49.3,50.7,1.3,22.1,12,55.5,20.7
"Osceola","FL",380331,49.6,50.4,1.4,24.5,13,57.7,10.9
"Palm Beach","FL",1481233,48.7,51.3,3.9,19.2,23.8,65.4,18.6
"Pasco","FL",551598,48.9,51.1,2.5,20.5,22.1,81.3,5.9
"Pinellas","FL",957989,48.3,51.7,3.4,16.1,24.8,78.5,10.3
"Polk","FL",713148,49.3,50.7,2.2,22.3,19.9,68.5,15
"Putnam","FL",73147,49.7,50.3,2.1,21.6,22.9,76.4,16
"Santa Rosa","FL",184345,51.3,48.7,1.5,22.1,16,83.7,5.9
"Sarasota","FL",429336,47.9,52.1,5.3,14.3,36.5,87.9,4.3
"Seminole","FL",467382,48.6,51.4,1.9,21.1,15.6,69.4,11.9
"St. Johns","FL",265724,48.9,51.1,2.1,21.9,20.1,84.9,5.3
"St. Lucie","FL",324599,49.1,50.9,2.5,19.9,24,66.5,20.4
"Sumter","FL",127335,49.7,50.3,5.1,7.2,57.6,88,7.3
"Suwannee","FL",43514,52,48,2.2,21.6,20.3,79.2,11.7
"Taylor","FL",21762,55.7,44.3,2.9,19.5,19.2,72.9,22.5
"Union","FL",16141,65.5,34.5,1,19.8,15.5,71.9,18.3
"Volusia","FL",548783,49,51,3,17.8,24.3,76.8,10.9
"Wakulla","FL",33144,54.9,45.1,1,20.9,15.1,80.2,13.5
"Walton","FL",73456,50.7,49.3,1.9,20.6,19.5,85.8,4.2
"Washington","FL",24906,54.6,45.4,2,19.3,17.3,78.8,14.9
"Appling","GA",18509,51.1,48.9,1.9,24.9,17.3,72.7,19.7
"Atkinson","GA",8269,50,50,1,26.5,13.9,69.1,16.1
"Bacon","GA",11163,49.2,50.8,1.3,25.8,15.7,76.9,15.8
"Baker","GA",2928,49.9,50.1,1.8,18.3,28.9,51.1,39
"Baldwin","GA",43876,50.6,49.4,1.5,18.9,15.9,53.1,41.5
"Banks","GA",18061,50.5,49.5,1.3,22.7,16.8,89.5,2.6
"Barrow","GA",82138,49.3,50.7,1.2,26,12.4,73.6,12.5
"Bartow","GA",107868,49.8,50.2,1.2,24.1,14,80.6,10.3
"Ben Hill","GA",17237,47.4,52.6,2,24.9,17.3,58,37.2
"Berrien","GA",18195,49.4,50.6,2,24.5,17.6,82,9.8
"Bibb","GA",156711,47,53,2.1,24.4,15.5,38.4,54.3
"Bleckley","GA",12562,46.7,53.3,1.5,19.3,17.3,70,27.9
"Brantley","GA",18072,49.5,50.5,1.6,24.1,16.1,92.8,2.3
"Brooks","GA",16254,48.3,51.7,2,22.2,19.1,57.8,35.9
"Bryan","GA",43278,49.9,50.1,1,29.5,10.5,73.6,14.2
"Bulloch","GA",79635,48.9,51.1,1.1,20.1,11.4,64,27.9
"Burke","GA",24231,47.1,52.9,0.9,25.5,15.7,49.5,46.4
"Butts","GA",24950,53.7,46.3,1.1,20.3,15.9,67,28.1
"Calhoun","GA",5668,61.2,38.8,1.7,17,15.6,33.6,61.7
"Camden","GA",54256,51.9,48.1,1.1,24.4,13.6,71.2,18.4
"Candler","GA",10885,48.7,51.3,2.2,25.4,18.1,67,22.5
"Carroll","GA",118402,48.7,51.3,1.2,23.9,13.5,71.9,20
"Catoosa","GA",67579,48.5,51.5,1.9,22.8,17.6,90.9,2.3
"Charlton","GA",12416,58.6,41.4,1.1,18.5,16,64.1,27.6
"Chatham","GA",294815,48.2,51.8,1.6,21.2,15.6,50.6,40.4
"Chattahoochee","GA",9533,65.6,34.4,0.2,19.9,3.1,62.9,19.5
"Chattooga","GA",24898,51.5,48.5,2.7,22.5,17.6,83.7,9.8
"Cherokee","GA",262155,49.5,50.5,1.1,24.2,14.1,83,7.3
"Clarke","GA",128195,47.7,52.3,1.1,17.3,11.1,60.6,27.8
"Clay","GA",2883,49.4,50.6,3.4,19.2,27.1,41.4,56.3
"Clayton","GA",294335,46.9,53.1,0.6,27.8,9.5,14.1,70.5
"Clinch","GA",6737,49.6,50.4,1.2,25.6,15.1,66.7,25.5
"Cobb","GA",762500,48.7,51.3,1.2,23.4,12.5,55,27.5
"Coffee","GA",43048,51.8,48.2,1.1,24.5,14.2,63.6,28.6
"Colquitt","GA",45800,50.1,49.9,1.2,26.1,15.3,61.9,23.4
"Columbia","GA",154274,49.1,50.9,1.4,25.5,13.8,71,16.9
"Cook","GA",17188,48.7,51.3,1.3,25.5,15.9,66.9,26.8
"Coweta","GA",144928,48.8,51.2,0.9,24.2,14,74.5,17.6
"Crawford","GA",12159,52.1,47.9,1.7,21.3,18.5,74.6,21.1
"Crisp","GA",20524,49,51,2.3,23.8,19,52.1,45.7
"Dade","GA",16313,49.8,50.2,2.7,19.8,19.1,94.2,1.1
"Dawson","GA",26202,51.1,48.9,1.4,20,19.8,93.9,0.9
"DeKalb","GA",758634,47.4,52.6,1.4,23.1,12.6,32.6,52.8
"Decatur","GA",29020,47.8,52.2,2.1,24.6,16.1,51.7,41.6
"Dodge","GA",20089,52.8,47.2,1.4,19.5,18.3,67.1,30
"Dooly","GA",11546,55.1,44.9,1.9,17.1,20.3,45.5,49.3
"Dougherty","GA",86825,46.4,53.6,2,23.8,15.9,25.3,69.9
"Douglas","GA",143520,47.7,52.3,1.4,25.9,11.7,42.6,48.3
"Early","GA",10813,47.2,52.8,2.3,24.7,18.9,44.2,52.9
"Echols","GA",3691,43.8,56.2,2,22.9,15.7,66.2,3.1
"Effingham","GA",63448,49.9,50.1,1,26.7,11.8,78.6,13.6
"Elbert","GA",19453,47.6,52.4,2.1,21.8,20.5,65.1,28.6
"Emanuel","GA",22739,50.1,49.9,1.2,25.1,15.9,61.4,32.3
"Evans","GA",10761,50.4,49.6,1.7,26.7,15.3,56.5,28.4
"Fannin","GA",25198,48.8,51.2,2.2,16.3,29.1,94.2,0.3
"Fayette","GA",117828,48.8,51.2,2,23.2,18.5,62.9,24
"Floyd","GA",98210,48.5,51.5,2,23.1,16.4,77.3,14.1
"Forsyth","GA",245754,49.9,50.1,0.9,27.2,11.9,72.6,3.8
"Franklin","GA",23256,49.3,50.7,2.2,22,18.7,84.5,8.8
"Fulton","GA",1054286,48.6,51.4,1.3,21.6,11.8,42.5,43.5
"Gilmer","GA",31047,49.8,50.2,1.8,19.2,25.1,92.1,0.6
"Glascock","GA",2903,46,54,1,22.1,16.5,88.7,10.2
"Glynn","GA",84373,47.2,52.8,2.4,21.6,20.5,66.9,25.4
"Gordon","GA",57274,49.1,50.9,1.4,24.1,14.6,83,3.2
"Grady","GA",26076,50,50,2.3,24.8,18.3,64.8,28.4
"Greene","GA",18461,49.9,50.1,2.1,18.3,29.3,58.8,33
"Gwinnett","GA",948505,49,51,0.9,26.9,10.2,42.6,28.3
"Habersham","GA",45767,47.2,52.8,2,22.6,18.3,83.5,3.3
"Hall","GA",201703,49.9,50.1,1.5,25.1,15,76.1,7.1
"Hancock","GA",8652,54.9,45.1,2.9,13.5,23.4,24.7,73.6
"Haralson","GA",29685,49.4,50.6,1.3,23.8,15.8,91.2,4.8
"Harris","GA",34316,50.5,49.5,0.8,21.6,18.4,78.1,15.7
"Hart","GA",25808,49.7,50.3,1.6,20.9,22.6,76.3,19.4
"Heard","GA",11440,49.7,50.3,1.5,23,16.3,86.2,9.9
"Henry","GA",236615,47.9,52.1,1.3,25.6,11.7,43,46.7
"Houston","GA",161177,48.8,51.2,1.1,25.8,12.6,58.2,31.5
"Irwin","GA",9615,54,46,1.5,21.3,18.5,70,27.8
"Jackson","GA",73839,49.8,50.2,1.1,25.5,14.2,83.9,7.4
"Jasper","GA",14478,49,51,1.3,23.5,17.3,76,18.4
"Jeff Davis","GA",14753,50.3,49.7,1.4,26.4,14.9,74.4,13.1
"Jefferson","GA",15708,48.6,51.4,2.2,23.6,18.3,43.1,52.4
"Jenkins","GA",8693,48.9,51.1,2.7,21,19,61.1,31.5
"Johnson","GA",9272,59.6,40.4,2.9,18.9,19.2,62.6,33.6
"Jones","GA",28297,49.1,50.9,1.4,23,17.5,72,24.4
"Lamar","GA",18482,48.9,51.1,1,20.9,17.4,66.4,27.9
"Lanier","GA",9874,48.4,51.6,2,23.5,13.3,71.4,22.6
"Laurens","GA",49202,47.8,52.2,2.1,25,17.4,57.9,38.4
"Lee","GA",32547,50.3,49.7,1,26.4,13,70.7,22.8
"Liberty","GA",64334,50.6,49.4,0.5,28.2,9.3,42.2,41.4
"Lincoln","GA",7686,49,51,1.9,19.4,24.1,67.7,29
"Long","GA",16398,51.8,48.2,0.6,27.6,8.8,59.7,23.2
"Lowndes","GA",117437,48.5,51.5,1.2,24.3,12.3,54.7,37.1
"Lumpkin","GA",33188,48.9,51.1,1.8,17.5,17.8,93.5,1.5
"Macon","GA",12330,53.3,46.7,1.3,18.2,17.3,35.3,60.6
"Madison","GA",29906,48.8,51.2,1.4,23.3,17.1,82.3,8.7
"Marion","GA",7563,48.4,51.6,1.3,20.9,20.6,59.8,30.4
"McDuffie","GA",21727,47.1,52.9,2,24.2,17.7,53.9,40.9
"McIntosh","GA",11291,50.4,49.6,1.7,15.8,27,63.3,32.2
"Meriwether","GA",20659,48.3,51.7,2.5,21.3,20.4,58,39.3
"Miller","GA",5984,47.8,52.2,3.4,23,21.1,67.2,27.7
"Mitchell","GA",21940,52.9,47.1,1.3,22.6,16.9,47.7,46.5
"Monroe","GA",27825,50.4,49.6,1.6,20.9,18.4,73.9,22.4
"Montgomery","GA",8701,50.3,49.7,1.2,20.5,16.9,67.9,25.8
"Morgan","GA",19694,49.1,50.9,1.6,23,19.7,73.2,22.2
"Murray","GA",39853,50.1,49.9,1.1,24.7,14.5,94.8,0.7
"Muscogee","GA",204366,48.8,51.2,1.8,24.9,13.4,41.7,46.4
"Newton","GA",111262,47.5,52.5,1.2,26,13.1,46.7,45.7
"Oconee","GA",41006,49.6,50.4,1.6,26.6,15.4,86.7,3.6
"Oglethorpe","GA",14779,51,49,1.2,21.1,18.1,79,17.3
"Paulding","GA",165688,48.9,51.1,0.8,26.2,10.8,71.8,20.3
"Peach","GA",27822,48.9,51.1,2,21.2,16,49.9,44.6
"Pickens","GA",32814,50.2,49.8,1.3,19.8,21.7,87.8,1.3
"Pierce","GA",19644,50.4,49.6,0.9,25,17.4,85.6,10
"Pike","GA",18754,49.3,50.7,1.8,23.6,15.3,87.8,8.6
"Polk","GA",42692,49,51,1,25.4,15.4,78.5,12.3
"Pulaski","GA",10001,44.6,55.4,1.1,17.5,20.6,58.4,39.5
"Putnam","GA",21870,47.8,52.2,1.1,20,24.1,68.9,26.8
"Quitman","GA",2249,51.6,48.4,2.1,12.5,30.8,41.4,52.3
"Rabun","GA",16731,49.1,50.9,3,16.8,28.3,90.9,1.4
"Randolph","GA",6503,46.4,53.6,3,26.8,20.5,31.1,64
"Richmond","GA",205772,48.7,51.3,1.5,23,14.1,35.3,55.8
"Rockdale","GA",92983,47.3,52.7,1.3,24.6,14.5,33.5,56.3
"Schley","GA",4622,48.3,51.7,2.3,22.8,15,69,25.4
"Screven","GA",14028,48.4,51.6,1.6,21.2,19.1,55.8,41.3
"Seminole","GA",9108,48.2,51.8,1.4,19.9,23.1,64.1,32.6
"Spalding","GA",66722,48.3,51.7,1.9,23.7,18.2,60.3,34.2
"Stephens","GA",26641,48.1,51.9,2.2,21.7,19.6,82.7,10.8
"Stewart","GA",5347,68.9,31.1,3.1,11.5,14.2,23.2,59.4
"Sumter","GA",29690,47.1,52.9,1.9,22.7,17,43.3,51.4
"Talbot","GA",5837,48.2,51.8,2.1,16.5,25.1,40.8,56.5
"Taliaferro","GA",1574,49.4,50.6,6.9,12.6,28.5,35.7,55.7
"Tattnall","GA",23211,58.2,41.8,1.7,20.5,14.1,56.9,28.2
"Taylor","GA",7857,48.8,51.2,3.2,20.4,20.6,57.8,40
"Telfair","GA",12860,58.6,41.4,1.8,20.3,17.3,52.1,35.3
"Terrell","GA",9102,50,50,2.7,23.1,19.4,36.1,57
"Thomas","GA",45669,47.7,52.3,1.8,23.8,17.9,59.2,36.2
"Tift","GA",41148,48.8,51.2,1.5,24.9,14.7,60.7,29.1
"Toombs","GA",26956,47,53,2.3,26.5,16.7,65.3,25.8
"Towns","GA",12300,47.5,52.5,3.8,12.6,33.7,94.3,2.3
"Treutlen","GA",6410,55.9,44.1,1.6,25.3,19,70.8,27.8
"Troup","GA",69483,47.9,52.1,2.1,24.5,14.9,57.1,36.7
"Turner","GA",8856,48.8,51.2,1,24.7,18,56.3,37.8
"Twiggs","GA",8034,49.8,50.2,1.3,19.3,22.7,55.5,41.4
"Union","GA",24183,49.2,50.8,4,15.6,33.1,94.5,0.8
"Upson","GA",27424,48.3,51.7,2.2,23.5,18.1,67.8,29
"Walker","GA",67772,49.4,50.6,2,21.6,18.5,91.4,4
"Walton","GA",95453,48.8,51.2,1.7,24.6,15.6,75.7,18.4
"Ware","GA",36084,50.3,49.7,1.9,24.6,16.9,63.4,30.4
"Warren","GA",5218,47.3,52.7,2,20.6,22.2,38,60.4
"Washington","GA",20052,51.3,48.7,1.5,21.6,18.1,43.3,52
"Wayne","GA",30118,50.6,49.4,1.2,24.4,15.9,74.3,18.6
"Webster","GA",2372,49.3,50.7,1.6,22,18,45.6,39
"Wheeler","GA",7568,67.9,32.1,2,16.8,14.8,65.1,34
"White","GA",27886,49.4,50.6,1.8,19.6,22.7,92,1.7
"Whitfield","GA",103076,50.1,49.9,1.4,26,13.9,83.9,3.4
"Wilcox","GA",8841,61.6,38.4,1.6,19,16.8,62.9,34.4
"Wilkes","GA",9643,48.9,51.1,2.6,20.9,23.1,53.1,40.7
"Wilkinson","GA",8931,47.8,52.2,2.8,22.9,19.4,57.9,38.5
"Worth","GA",20824,47.8,52.2,2.3,22.1,19.3,68.5,27.5
"Hawaii","HI",200468,49.8,50.2,2.1,21.5,21.3,32.6,0.7
"Honolulu","HI",1015167,50.6,49.4,3,21.3,17.8,19.9,2.5
"Kalawao","HI",48,54.2,45.8,8.3,2.1,20.8,29.2,4.2
"Kauai","HI",73247,49.9,50.1,2.3,21.8,20.3,31.7,0.5
"Maui","HI",164568,50,50,2,21.7,18.6,32.9,0.7
"Adair","IA",7439,50.6,49.4,4,22.4,21.6,97.1,0.6
"Adams","IA",3697,49.6,50.4,2.8,21.5,22.5,95.9,0.1
"Allamakee","IA",14068,50.8,49.2,3.5,23.8,22.5,94.5,1.7
"Appanoose","IA",12310,49.4,50.6,3.7,22.9,22.5,96,0.2
"Audubon","IA",5657,50.1,49.9,3.9,22.3,24.4,96.2,0.5
"Benton","IA",25654,50.4,49.6,2.7,23.5,18.2,96,0.3
"Black Hawk","IA",131396,49.4,50.6,2,22,16.5,82.2,9.5
"Boone","IA",26721,51,49,1.9,21.6,18.2,95.6,1.2
"Bremer","IA",24863,50.1,49.9,2.5,22.9,19.2,94.8,0.9
"Buchanan","IA",20598,49.7,50.3,2.1,26.4,17.7,96.9,0.6
"Buena Vista","IA",20723,52.7,47.3,2.8,26.2,15,72,2.6
"Butler","IA",14421,49.7,50.3,3.5,23,22.3,96.4,0.5
"Calhoun","IA",9962,52.4,47.6,4,22.4,22.7,94.3,1.6
"Carroll","IA",20756,50.1,49.9,3.2,24,20,94.1,0.3
"Cass","IA",13158,50.3,49.7,3.6,22.8,22.5,96.7,0.7
"Cedar","IA",18494,49.5,50.5,3.3,22.1,19.3,96.8,0.6
"Cerro Gordo","IA",43185,49.4,50.6,3.2,21,21.4,92.3,2
"Cherokee","IA",11606,50.6,49.4,4.3,22.7,23.5,93.4,1.4
"Chickasaw","IA",12021,50.6,49.4,2.5,23.9,20.5,97.4,0.6
"Clarke","IA",9736,52.3,47.7,3.2,26.2,18.3,91.6,0.1
"Clay","IA",16410,49.2,50.8,3.3,23.4,20.8,95,0.2
"Clayton","IA",17173,50.5,49.5,3.8,21.7,23.4,96.6,0.3
"Clinton","IA",46589,49.4,50.6,2.5,22.8,19.5,92.2,2.8
"Crawford","IA",16555,49.6,50.4,1.4,25.4,16.8,79,3.6
"Dallas","IA",96604,49.6,50.4,1.6,27.5,11.8,86.7,2
"Davis","IA",9066,50.5,49.5,2.9,29.7,17.2,96,0
"Decatur","IA",7718,50.7,49.3,2.7,21.8,20.1,93.7,1.6
"Delaware","IA",17508,50.9,49.1,2.7,24,19.5,96.6,0.1
"Des Moines","IA",39069,48.8,51.2,3.5,22.8,20.6,88.9,6
"Dickinson","IA",17536,50.1,49.9,3.4,19.5,25.9,95.4,0.1
"Dubuque","IA",98687,49.2,50.8,2.4,22.9,17.8,91.2,3
"Emmet","IA",9433,49.8,50.2,2.9,20.5,22.3,90.1,2.5
"Fayette","IA",19582,50.2,49.8,3.3,21.4,21,94,1.5
"Floyd","IA",15672,49.9,50.1,3.9,22.9,21.9,92.1,1.5
"Franklin","IA",10056,50.7,49.3,2.8,23.5,21.1,93.7,0.6
"Fremont","IA",6702,50.6,49.4,3.4,22.8,22,94.7,0.5
"Greene","IA",8831,49.5,50.5,3.4,22.6,22.6,94.9,0.3
"Grundy","IA",12336,49.6,50.4,2.7,23.5,20.5,97,0.7
"Guthrie","IA",10599,50.1,49.9,2.5,22.2,22.4,95.1,0.3
"Hamilton","IA",15073,50.3,49.7,3.7,23,20.7,92.5,1.5
"Hancock","IA",10837,50.6,49.4,3.6,21.8,22.3,95.5,1.2
"Hardin","IA",16997,50.4,49.6,3.9,19.9,22,93.4,1.1
"Harrison","IA",14589,50.5,49.5,3,23.5,19.1,97.1,0.2
"Henry","IA",20488,51.9,48.1,2.6,21.6,18.6,90.1,2.5
"Howard","IA",9456,50.5,49.5,3.2,25.6,20.3,96.5,0.3
"Humboldt","IA",9622,50.6,49.4,3.7,24,20.5,95.5,0.2
"Ida","IA",6979,50.3,49.7,3.1,24.8,21.2,95.7,1.4
"Iowa","IA",16596,50.6,49.4,2.5,23.2,18.7,95.7,0.7
"Jackson","IA",19499,50.5,49.5,3.2,22.2,20.8,96.5,0.5
"Jasper","IA",37686,51.8,48.2,2.4,22.4,18.7,94.4,1.7
"Jefferson","IA",15846,51.2,48.8,2.4,20.2,22.6,83.4,6.7
"Johnson","IA",151833,49.9,50.1,1.3,20,12,79.8,7.2
"Jones","IA",20680,51.6,48.4,3,21.8,20.6,93.6,2.2
"Keokuk","IA",10050,51,49,2.5,23.1,21.6,97,0.5
"Kossuth","IA",14823,50.3,49.7,4.3,22.2,23.6,95.4,0.5
"Lee","IA",33724,50.5,49.5,2.6,21.6,20.4,92.8,3
"Linn","IA",228567,49.5,50.5,2.1,23.3,15.9,86.4,5.9
"Louisa","IA",10891,51.7,48.3,2.4,22.6,18.7,84.4,0.7
"Lucas","IA",8650,51.2,48.8,3.3,22.7,21.3,97.4,0.3
"Lyon","IA",11953,51.1,48.9,3,28.4,18.2,95.9,0.1
"Madison","IA",16414,50.2,49.8,1.5,25.5,17.2,96.6,0.9
"Mahaska","IA",22132,50.8,49.2,2.5,24,17.9,94,1.7
"Marion","IA",33381,50.4,49.6,2.8,23.5,17.8,94.8,1
"Marshall","IA",40137,50.2,49.8,2.8,25.6,17.9,80.4,1.5
"Mills","IA",14658,50,50,2.5,23.6,18.8,96.5,0.3
"Mitchell","IA",10526,50.1,49.9,3.5,24.1,20.6,97.4,0.5
"Monona","IA",8732,48.2,51.8,4.2,22.3,24.4,95.6,0.2
"Monroe","IA",7589,48.4,51.6,2.9,24.4,19.4,94.8,0
"Montgomery","IA",10327,48.5,51.5,3.9,24.4,21.4,94,0
"Muscatine","IA",43145,50.2,49.8,2.1,24.9,16.4,85.6,2.5
"O'Brien","IA",14139,50.3,49.7,4.6,24.1,20.3,92.9,1.6
"Osceola","IA",6168,51.2,48.8,3.4,23.7,21.3,92.8,0.6
"Page","IA",15250,53.7,46.3,3.7,19.9,22.5,93,1.8
"Palo Alto","IA",8996,50.8,49.2,4.5,23.7,21.5,93.8,1.5
"Plymouth","IA",25543,50.3,49.7,3.6,25.2,18.6,93.6,1.7
"Pocahontas","IA",7091,49.8,50.2,3.5,22.6,22.5,95.2,0.3
"Polk","IA",488871,49.6,50.4,1.5,24.9,13,81.4,7.2
"Pottawattamie","IA",93571,49.7,50.3,2.2,23.7,17.5,91.1,1.4
"Poweshiek","IA",18628,48.6,51.4,2.7,20,20.4,92.4,1.2
"Ringgold","IA",4739,49.3,50.7,3.9,24.2,23.4,95.5,0.1
"Sac","IA",9829,50.1,49.9,3.9,22.3,23.3,96.8,0.8
"Scott","IA",174170,49.3,50.7,1.9,23.9,16.2,83.1,7.1
"Shelby","IA",11750,48.5,51.5,4.2,22,22.5,95.7,1.1
"Sioux","IA",35647,50.5,49.5,2.1,27.4,15.4,91.5,0.4
"Story","IA",98106,52.4,47.6,1.7,16.6,12.3,84.5,2.3
"Tama","IA",17079,50.1,49.9,3.2,24.3,19.7,84.7,0.8
"Taylor","IA",5932,49.2,50.8,3.7,23.4,21.9,92.3,0
"Union","IA",12193,49.1,50.9,2.6,22.6,20.1,95.5,0.4
"Van Buren","IA",7196,51.3,48.7,2.9,23.2,22.6,97.1,0.3
"Wapello","IA",35343,50.3,49.7,2.6,23.3,17.7,86.1,3.4
"Warren","IA",51862,49.6,50.4,2,24.8,15.7,94.9,0.8
"Washington","IA",22525,49.5,50.5,2.8,24.9,18.9,92.6,0.6
"Wayne","IA",6504,49.6,50.4,2.8,25.9,21.1,95.6,0.3
"Webster","IA",37114,52.1,47.9,2.5,21.5,18.7,88.7,4.3
"Winnebago","IA",10743,50.3,49.7,2.9,22.2,21,93.8,0.8
"Winneshiek","IA",20100,50,50,2.9,18.6,21.1,95.8,0.9
"Woodbury","IA",105102,49.9,50.1,1.7,26.2,15,79.9,4
"Worth","IA",7450,51.9,48.1,2.9,20.7,20.9,95.2,0.7
"Wright","IA",12978,51.2,48.8,4.2,24.8,22.3,91.4,0.2
"Ada","ID",485246,50.3,49.7,1.4,23.4,14.7,87.6,1.3
"Adams","ID",4321,52.3,47.7,1.9,16.1,29.8,94.2,0.1
"Bannock","ID",86362,50.1,49.9,1.5,26.1,14.3,87.1,0.8
"Bear Lake","ID",6327,50.3,49.7,2,27.5,20,94,0.2
"Benewah","ID",9509,51,49,1.6,22.6,22.6,85.5,0.8
"Bingham","ID",47540,50.1,49.9,1.6,30.8,14,80.1,0.1
"Blaine","ID",23868,51.9,48.1,1.6,21.9,19.1,84.5,0.5
"Boise","ID",7549,50.8,49.2,2.7,15.8,26.1,91.5,0.2
"Bonner","ID",46481,50.1,49.9,2.5,19.8,24.9,92.6,0.3
"Bonneville","ID",121771,50.3,49.7,1.5,30.8,13,88.2,0.4
"Boundary","ID",11966,50.3,49.7,2.2,23.4,22.6,91.5,0.2
"Butte","ID",2573,51.7,48.3,3,22.9,21.4,94.8,0
"Camas","ID",1044,43.5,56.5,0.4,28.6,14.9,93.6,0
"Canyon","ID",227367,49.8,50.2,1.3,28.1,13.7,78.4,0.6
"Caribou","ID",7003,50.8,49.2,1.5,28.5,16.7,94,0
"Cassia","ID",24469,51,49,1.6,31.5,13.9,83.3,0.1
"Clark","ID",839,52.6,47.4,0.7,22.3,15.1,67.5,0.7
"Clearwater","ID",8719,55.6,44.4,2.5,16,27.5,91.5,0.3
"Custer","ID",4273,53.3,46.7,2.8,16.9,33.3,89,0.1
"Elmore","ID",28396,52.9,47.1,1.2,25.5,13.5,78.6,2.6
"Franklin","ID",14036,52.4,47.6,1.2,32.2,13.9,92.5,0
"Fremont","ID",13370,52.2,47.8,1.6,25.2,17.3,92.9,0.4
"Gem","ID",18692,50.4,49.6,1.1,22.9,21.5,86.1,0.1
"Gooding","ID",15422,50.9,49.1,2.3,27.4,17.4,83.4,0
"Idaho","ID",16494,52.9,47.1,2.3,19.6,27.8,92.8,0.1
"Jefferson","ID",30427,50.7,49.3,1,34,11.1,89.1,0.1
"Jerome","ID",24081,50.4,49.6,1.6,30.6,12.6,81.4,0.1
"Kootenai","ID",168317,49.7,50.3,1.9,22.9,18.9,90.9,0.3
"Latah","ID",39464,51.1,48.9,1.5,18.8,13.9,89.9,1.2
"Lemhi","ID",7948,52.3,47.7,4.7,17.9,30.1,93.5,0
"Lewis","ID",3613,48.1,51.9,1.9,23.3,26.4,82.3,1.1
"Lincoln","ID",5184,52.8,47.2,1.9,28.2,13.8,82.1,0
"Madison","ID",50979,51.2,48.8,0.8,27.1,6.9,91.5,0.5
"Minidoka","ID",21393,50.4,49.6,1.8,29.3,15.6,81.2,0.1
"Nez Perce","ID",41820,49.6,50.4,3,21.7,19.7,88.9,0.1
"Oneida","ID",4514,49.6,50.4,3.1,27.4,19.4,95.5,0.1
"Owyhee","ID",11815,52.2,47.8,2,25.7,17.8,76.4,0.4
"Payette","ID",24928,49.9,50.1,1.9,26.3,18.7,84.5,0.2
"Power","ID",7854,50.1,49.9,1.2,31.1,14.8,75.8,0
"Shoshone","ID",13124,50.1,49.9,2.7,20.6,22.7,92.1,0.8
"Teton","ID",11490,52.3,47.7,1.5,24.1,12.5,86,0
"Twin Falls","ID",89128,49.6,50.4,1.3,27.5,15.5,85.6,0.7
"Valley","ID",11476,50.1,49.9,3.9,16.8,27.3,97.5,0.1
"Washington","ID",10425,49.7,50.3,1.9,23,25.2,85.6,0.1
"Adams","IL",65878,49.2,50.8,2.9,22.8,20,92.1,4
"Alexander","IL",5488,48.3,51.7,1.6,22.7,22.5,63.8,33.5
"Bond","IL",16804,52.8,47.2,3,18.7,18.7,90,7
"Boone","IL",53592,50,50,1.9,24.6,16,83.8,2.7
"Brown","IL",6330,64.2,35.8,2.2,17.4,14.1,77,18.5
"Bureau","IL",33338,49.2,50.8,2.4,21.4,21.7,91.3,0.6
"Calhoun","IL",4537,51.4,48.6,3.3,20.2,23.5,96,0.6
"Carroll","IL",15586,50.3,49.7,2.9,19.5,25.1,91.4,3
"Cass","IL",13058,50.3,49.7,2.6,24.6,17.4,84.8,3.5
"Champaign","IL",206583,50,50,1.6,19.1,12.9,70,13.1
"Christian","IL",34038,51.3,48.7,2.4,21.2,19.5,95.9,1.6
"Clark","IL",15587,49.8,50.2,3,23.2,19.5,96.5,0.8
"Clay","IL",13313,49.9,50.1,3.1,23,20.4,95.7,0.5
"Clinton","IL",37048,52.1,47.9,2.1,21.4,17,92,3.4
"Coles","IL",47542,48.6,51.4,2.7,18.2,17,91.6,3.9
"Cook","IL",5265398,48.8,51.2,1.9,21.9,14.7,52,23
"Crawford","IL",18825,53.7,46.3,2.4,19.7,18.9,92,5.2
"Cumberland","IL",10528,51,49,3.4,22.8,19.9,96.4,0.1
"De Witt","IL",15653,50.2,49.8,2.1,21.5,19,95.9,1.1
