"county","state","prop_higher_education","mean_household_income","unemployment","private_insurance","public_insurance","no_insurance","total_population","males","females","old_85","children","old_65","white_pct","black_pct"
"Sangamon","IL","34.0",87022,5.4,74.1,37.5,3.9,196759,48.2,51.8,2,22.3,17.9,80.6,12.7
"Schuyler","IL","17.4",71766,6.5,63.3,44.9,6.3,6953,54.7,45.3,2.6,17.4,23.5,93.2,4.9
"Scott","IL","22.1",74603,4.1,68.3,42.4,4.2,4923,49.6,50.4,2.5,21.9,20.2,96.2,0.2
"Shelby","IL","17.4",71059,3.8,73.2,39.8,3.7,21160,49.3,50.7,3.3,21.7,22.6,97.6,0.3
"St. Clair","IL","29.6",81455,5.7,69.1,39.1,6.1,258597,48.5,51.5,1.9,23.7,15.9,62.6,29.2
"Stark","IL","19.5",71337,3.6,67.2,43.5,5.3,5436,49.5,50.5,2.8,21.3,22.5,96.2,0.9
"Stephenson","IL","21.3",69204,6.8,61.5,47,6.1,44817,49,51,3.4,21.6,23.1,84.4,9.4
"Tazewell","IL","27.7",85916,4.3,75,35.8,4.9,131977,49.4,50.6,2.5,22.8,18.7,95.1,1.3
"Union","IL","22.7",68909,7,61,47.1,5.5,17259,50.5,49.5,3,21.3,21.1,93.6,1.4
"Vermilion","IL","16.3",64866,6.6,60.7,48.7,5.8,74953,50.1,49.9,2.3,23.7,19.2,81,14.4
"Wabash","IL","18.5",70128,4.7,68.3,45.9,5.8,11414,49.6,50.4,3.6,22.3,21,95.1,0.1
"Warren","IL","22.4",73456,8.4,66.4,41.5,5.7,16887,49.3,50.7,2.4,21.8,18.9,87.1,3.9
"Washington","IL","22.6",80047,5,77.8,35.2,2.7,13827,50.2,49.8,2.2,21.2,20.8,96.8,0.9
"Wayne","IL","15.2",64141,3.9,61.2,42.8,11.4,16250,49.7,50.3,3.3,22.8,21.2,96.5,1.1
"White","IL","16.2",66148,3.6,63.6,46,6.9,13959,49.4,50.6,3.1,22.1,21.4,96.8,0.8
"Whiteside","IL","18.8",76215,4.1,70,39.5,5.7,55932,50.2,49.8,3,22.2,20.6,91.9,1.1
"Will","IL","35.4",116288,5.2,78.3,26.6,5.4,696403,49.9,50.1,1.4,24.8,13.2,70,11.4
"Williamson","IL","26.6",73876,4.7,67.4,42,5.7,67271,50.1,49.9,2.1,22,18.8,90.1,4
"Winnebago","IL","23.3",75845,7.9,64,43.1,6.5,285471,49.1,50.9,2.5,23.6,17.5,74.6,13.3
"Woodford","IL","34.9",98120,3.5,81,29.3,4.3,38571,50,50,2.6,24.3,17.8,96.4,0.7
"Adams","IN","14.4",68216,3,63.7,27.8,19.5,35685,50.3,49.7,2.7,31.6,15.1,95.2,0.9
"Allen","IN","29.9",80526,5,69.3,33.6,8.2,381839,49.2,50.8,1.8,25.8,14.6,75.9,11.3
"Bartholomew","IN","35.2",88405,3.8,73.8,31.6,6.6,81759,50.6,49.4,1.8,24.1,16,83.3,1.9
"Benton","IN","17.5",69330,4,63.4,41.5,7.8,8687,49.8,50.2,2.4,25.1,17.2,95.3,0.7
"Blackford","IN","14.2",61505,4.6,67.9,45.4,5.3,12139,49.5,50.5,2.6,22.3,21.2,96.7,0.5
"Boone","IN","49.4",132865,3.2,81.2,22.6,4.8,69839,49.7,50.3,1.7,26.2,13.3,90.6,2.1
"Brown","IN","27.7",85277,4.9,68.8,40.3,8.2,15444,49.6,50.4,2.1,17.4,24.5,96.1,0.6
"Carroll","IN","14.7",75623,3.4,67.6,35.6,10.1,20288,50.8,49.2,2.3,22.2,19.4,95.3,0.6
"Cass","IN","13.6",65382,4.4,68.8,37.1,8.6,37918,49.8,50.2,2.7,23.1,17.7,82.6,1
"Clark","IN","22.8",77953,4,72.4,33.8,6.5,120185,49.1,50.9,1.6,22.6,15.7,85.9,6.8
"Clay","IN","16.3",77956,4.7,73.6,36.1,4.8,26397,49.4,50.6,2.3,23.4,18.2,96,0.6
"Clinton","IN","14.9",66112,3.6,67.6,33.9,10.4,33010,49.9,50.1,2.5,26.4,16.4,88,0.7
"Crawford","IN","11.7",59977,3.3,57.2,49.5,7.8,10511,51.3,48.7,1.5,21.9,19.7,95.6,0.5
"Daviess","IN","13.7",74137,2.6,56.4,30.4,25.7,33281,50.1,49.9,2.2,29.7,15.3,93.6,1.7
"DeKalb","IN","18.7",75038,3.9,72.2,30.7,7.5,43059,49.6,50.4,1.7,24.4,16.1,96.1,0.2
"Dearborn","IN","24.9",85926,3.1,75.3,33.7,4.6,50494,49.8,50.2,1.8,22.5,17.7,96.6,0.5
"Decatur","IN","20.8",78184,4,76.4,30.4,5.2,26466,50.1,49.9,1.7,23.9,16.6,95.4,0.2
"Delaware","IN","25.4",64485,6.4,67.8,39.5,7.2,112480,48.3,51.7,2.3,18.4,16.9,87.7,6.4
"Dubois","IN","24.6",79356,2.2,78.5,28.3,4.5,43474,50.2,49.8,2.3,24.6,17.3,91.5,1.2
"Elkhart","IN","20.0",78022,4.4,62.6,32.5,14.8,206314,49.7,50.3,2.1,27.7,14.6,82.7,5.2
"Fayette","IN","15.1",60004,4.9,61.1,45.4,8.4,23393,49.1,50.9,1.7,22.1,20.2,94.7,1.5
"Floyd","IN","30.3",88645,4.1,75.5,32.6,5.1,79594,48.7,51.3,2.1,22.7,16.1,88.8,5
"Fountain","IN","13.0",65584,4.9,67.7,39.1,9.6,16422,50.1,49.9,1.8,22.2,19.5,96.7,0.5
"Franklin","IN","21.4",82745,2.3,75.6,33,6.3,22769,50.2,49.8,2.3,23.3,18.5,96.7,0
"Fulton","IN","16.3",72201,6.5,66.1,37.8,10.3,20400,50,50,2,23.8,19.3,93.3,0.5
"Gibson","IN","18.2",71693,2.8,77.9,32.3,5.2,33017,50.5,49.5,2,24.1,17.2,92.9,2.4
"Grant","IN","19.6",63342,7.4,62.6,44.9,7.3,66802,48.1,51.9,2.5,21,18.8,86.7,7.1
"Greene","IN","15.7",69546,6,69.4,41.9,6.4,30924,50.4,49.6,1.6,21.9,19.2,96.9,0.4
"Hamilton","IN","60.5",140553,3,85.9,18.9,4.5,341616,49.2,50.8,1.5,26.7,12.5,84.8,3.9
"Hancock","IN","32.6",96283,3,81,26.7,5.8,78616,49.5,50.5,1.2,23.5,16.2,92.1,2.7
"Harrison","IN","18.8",79323,4.6,72.6,36.1,5.9,39516,50.1,49.9,1.7,22.3,17.6,95.8,0.6
"Hendricks","IN","39.5",109086,2.6,82.2,23.4,5.6,172100,50.3,49.7,1.4,24.9,13.9,84.4,7.5
"Henry","IN","17.5",68804,4.8,66.7,43.9,6.3,48857,52.7,47.3,1.8,20.8,18.6,94,2.5
"Howard","IN","20.8",73500,5.6,71.1,38.7,6.7,83349,48.3,51.7,2.5,23,19,85.9,8.2
"Huntington","IN","20.9",71376,2.6,73.1,33.2,6.2,36572,50,50,2.4,21.7,17.1,95.5,0.8
"Jackson","IN","17.5",72868,4.1,68.9,34.2,9.7,45948,50.3,49.7,2.1,24.7,16.1,88.5,1.3
"Jasper","IN","17.4",78870,4.3,72.4,37.3,5.5,33006,50.1,49.9,2,23.3,17.7,91.3,1.1
"Jay","IN","12.9",65821,4.2,61.2,41.4,9.8,20570,50.8,49.2,2.7,25.2,17.8,95.8,0.4
"Jefferson","IN","18.4",72815,3.7,70.1,36.4,7.6,33000,47.9,52.1,1.6,20.5,17.9,93.6,2
"Jennings","IN","15.4",73637,4.2,67.3,36.3,10.8,27619,50.6,49.4,1,23.3,16.3,95.7,0.8
"Johnson","IN","32.8",98065,3.5,78.2,28.5,5.8,159739,49.3,50.7,1.6,24.7,14.5,89.4,2.7
"Knox","IN","18.6",71606,3.5,70.8,36.7,7.9,36362,51,49,2,21.7,17.6,92.3,2.5
"Kosciusko","IN","24.3",81368,3.6,70.2,31.2,11.1,80151,50.2,49.8,1.6,24,16.6,90.8,0.7
"LaGrange","IN","10.4",87348,3.4,40.4,22.6,44.9,40085,50.8,49.2,1,32.6,13.7,95.7,0.2
"LaPorte","IN","19.7",75185,5.4,68,39.2,7.1,112184,51.9,48.1,2,21.6,17.8,80.9,10.7
"Lake","IN","23.7",80227,7.1,67.1,38,7.1,495925,48.7,51.3,2.1,23.6,16.5,60,23.3
"Lawrence","IN","19.8",71560,3.9,72.5,38.9,7.3,45133,49.2,50.8,2.1,21.8,19.8,95.7,0.3
"Madison","IN","19.0",67856,5.8,63.1,44.5,8.2,130037,50.4,49.6,2.4,21.7,18.1,86.3,7.9
"Marion","IN","32.8",76109,5.6,62.8,37.2,9.8,969542,48.4,51.6,1.5,24.8,12.5,58.5,28.1
"Marshall","IN","20.5",75845,3.6,67.1,32,11.8,46175,50.1,49.9,2.9,25.1,17.6,93.6,0.9
"Martin","IN","14.4",67405,2.3,75,35.4,7.6,9885,51.1,48.9,2.5,22.7,19.6,96.9,0.4
"Miami","IN","14.7",67668,4.8,68.2,40.7,9.3,36100,54.1,45.9,1.7,21.2,17.2,88.6,4.4
"Monroe","IN","47.4",74289,6.4,76.7,27,6.1,140189,49.8,50.2,1.6,15.8,13.1,85,3.4
"Montgomery","IN","20.2",73717,4.1,72.7,34.9,7.4,37967,50.9,49.1,1.9,22.9,17.6,93.5,1
"Morgan","IN","19.1",87036,4.3,72.6,34.2,5.9,71394,49.9,50.1,1.8,22.8,16.7,95.9,0.3
"Newton","IN","11.7",70925,8.6,70.7,38.2,6.3,13865,51,49,1.7,21.5,19,92.8,1.1
"Noble","IN","16.3",74739,3.5,69.7,31.6,10.7,47293,50.5,49.5,1.8,24.5,15.8,93.2,0.3
"Ohio","IN","15.7",75340,1.4,73,35.9,7.5,5931,49.5,50.5,2.2,19.6,21.8,96.1,0.2
"Orange","IN","13.3",70263,3.2,65.9,41.7,7.7,19752,50.2,49.8,2.8,22.8,19.6,94.5,1.7
"Owen","IN","14.0",67909,5.8,60.5,42.4,11.2,21280,51,49,1.9,21.3,19.7,96.2,0
"Parke","IN","13.0",70913,6.4,59.8,41,13.3,16316,47.8,52.2,1.7,21.8,19.2,94.5,1.1
"Perry","IN","15.6",66363,3.6,73.4,37.1,5,19151,53.9,46.1,2.6,21.1,18.5,94.1,2.9
"Pike","IN","14.2",69440,3.6,74.2,37,4.1,12220,50.1,49.9,2.7,21.3,20.4,96,0.7
"Porter","IN","30.3",95694,4.4,78.3,30.2,4.9,172353,49.7,50.3,1.9,22.1,16.5,88.1,4.1
"Posey","IN","24.2",83273,3.2,75.5,31.5,4.8,25301,50,50,1.7,22.4,18.9,95.2,1.5
"Pulaski","IN","13.1",64519,5.3,68.3,38.2,8.3,12496,50.6,49.4,1.8,22,19.3,93.6,0.1
"Putnam","IN","17.7",74738,2.1,75.7,32.8,5.6,36838,52.4,47.6,2,19.8,16.5,92.6,2.6
"Randolph","IN","16.2",67005,5.9,65.7,42.5,7.5,24681,49.8,50.2,3.1,23.3,19.8,93.6,0.3
"Ripley","IN","19.2",81422,4.3,71.6,33.1,8.6,28953,49.7,50.3,1.9,23.9,17.7,96.7,0.3
"Rush","IN","16.3",67497,6.6,68.1,38.5,7.9,16706,50.3,49.7,2.1,23,17.9,97.1,0.6
"Scott","IN","13.3",58880,4.6,63.7,44.1,5.6,24290,50,50,1.9,22.8,16.8,95.5,0.2
"Shelby","IN","18.7",77637,3.3,69.7,37.2,5.7,44825,49.7,50.3,2.4,23,16.9,93.7,1.1
"Spencer","IN","19.2",82579,3.3,74.8,35.7,3.9,19949,50.8,49.2,2.5,21.9,19.8,96,0.7
"St. Joseph","IN","32.1",80307,4.8,69,34.2,7.5,272049,49,51,2.1,23.7,15.7,75.3,12.7
"Starke","IN","11.9",67627,5.7,62,45.3,5.9,23275,49.9,50.1,2.2,23.6,18.6,96,0.1
"Steuben","IN","22.9",78878,6.6,70.8,38.1,6.1,34379,51.1,48.9,2.5,20.6,20.3,95,0.3
"Sullivan","IN","12.6",64968,5.6,62.5,42.7,10.4,20814,53.5,46.5,1.9,20.5,17.5,91.8,3.5
"Switzerland","IN","9.2",66004,4.9,60.6,41.7,12.8,9870,51.3,48.7,2.5,24.6,17.7,95.8,0.3
"Tippecanoe","IN","40.6",73422,3.9,78.1,24.3,6.1,185961,51.3,48.7,1.6,20.6,11.5,79.3,5.8
"Tipton","IN","24.8",79467,3.3,73.3,35.3,9.2,15290,49.5,50.5,1.5,20.8,20.9,96.6,0.3
"Union","IN","19.9",74769,3.8,69.4,32.9,8.7,7098,49.3,50.7,1.7,20.9,19.4,96.4,0.3
"Vanderburgh","IN","27.2",73216,4.7,67.7,37.7,7.6,179695,48.8,51.2,2.3,21.8,16.9,83.9,9.9
"Vermillion","IN","16.5",66975,7.5,67.8,43.3,4.7,15477,50,50,2.3,22.1,19.9,96.6,0.4
"Vigo","IN","25.1",66930,6.6,66.1,40.1,7.2,106523,51,49,2.1,20.6,16.2,86,7.2
"Wabash","IN","19.9",69377,3.9,71.6,36,7.7,31120,49.2,50.8,2.8,20.8,20.3,94.9,1.1
"Warren","IN","18.0",84094,2.6,72.7,37.2,4.7,8430,50.1,49.9,1.7,22,20.7,97,0.3
"Warrick","IN","32.8",110141,3.6,81.6,27.3,3.8,63575,49.2,50.8,1.9,23.9,17.4,92.1,2
"Washington","IN","12.8",67691,3.7,63.2,38.9,9.5,28025,49.5,50.5,1.3,23.1,17.2,97,0.1
"Wayne","IN","19.4",67980,4.6,60.6,43.4,10.6,66588,48.9,51.1,2.6,22.3,18.8,88.9,4.7
"Wells","IN","18.0",75968,2.4,75.4,31.6,6.9,28103,49.2,50.8,3.3,24.8,17.8,94.6,0.8
"White","IN","17.6",71845,5,72,36.6,8.1,24593,50.2,49.8,2.8,23.4,19.7,90.1,0.5
"Whitley","IN","23.1",82298,5,75.8,30.3,6.9,34048,49.9,50.1,2.2,23.2,17.9,95.3,0.4
"Allen","KS","18.7",61304,6,68.9,39.1,7,12557,49.5,50.5,3.2,22.3,20.2,92.1,2.1
"Anderson","KS","16.4",71355,6,66.1,37.5,13.3,7800,49.9,50.1,2.1,25.7,20.8,95.2,0.8
"Atchison","KS","22.1",66689,4.4,75.5,32.9,8.2,16382,48.7,51.3,2.4,23.5,17,88.5,2.6
"Barber","KS","24.7",78113,2.3,75.6,28.6,10.3,4178,51.2,48.8,3.2,24.2,22,94.9,0.4
"Barton","KS","20.9",65397,3.8,67.1,34.6,12.8,25708,49.2,50.8,3.2,23.9,19.7,87.3,1.3
"Bourbon","KS","23.5",63447,3.6,65.2,39.5,10.4,14410,49,51,2.6,25.7,19.4,90.9,2.5
"Brown","KS","19.1",66557,5.4,68.5,38,9.2,9532,49.8,50.2,2.6,25.9,19.9,83.7,0.9
"Butler","KS","32.3",86879,3.4,78,27.4,7.1,67404,50.5,49.5,2.1,25.5,15.2,90,2.3
"Chase","KS","29.3",67761,0.7,74.1,37.5,9.6,2583,50.1,49.9,3.5,21.1,23.8,93.4,1.2
"Chautauqua","KS","15.2",58925,8.2,63.1,43.2,13.2,3394,52.4,47.6,1.9,22.9,24.5,86.1,1.2
"Cherokee","KS","19.6",57884,1.4,65.6,40.1,9.8,19507,48.4,51.6,2.2,23.3,19.2,89.4,0.7
"Cheyenne","KS","21.6",65295,2.5,70.9,36,12.8,2647,50.4,49.6,4.9,21.1,26.4,91.9,0
"Clark","KS","27.3",70102,1.1,80.3,31.5,5.1,1994,51.7,48.3,4.4,24.1,24.3,89.5,0
"Clay","KS","25.8",63116,2.1,77.8,42.4,5.2,8085,50.3,49.7,4.7,23.9,24.1,95.9,1.7
"Cloud","KS","22.3",64870,4.6,70.6,34.4,9.4,9037,51,49,3.3,24.4,20.8,94.5,1.4
"Coffey","KS","22.7",79316,4.3,73.3,34.7,9.3,8361,50.4,49.6,3,21.8,21.5,95.3,0.7
"Comanche","KS","18.1",63188,3.7,81,31.2,7.6,1809,50,50,5.4,21,27.9,97.7,0.1
"Cowley","KS","24.1",71385,5.8,70.6,34.1,9.5,34769,50.3,49.7,2.9,23.8,18.1,85,2.3
"Crawford","KS","30.1",61290,4,65.7,34.5,11.6,39018,51.2,48.8,2.1,22.3,15.1,90.8,2.1
"Decatur","KS","22.3",62916,4.3,74.3,37.5,9.8,2792,50.1,49.9,5.4,21.3,27.6,96.2,0.8
"Dickinson","KS","24.5",77315,3,73.6,34.6,9.6,18572,50.3,49.7,2.4,23.3,19.6,92.7,1
"Doniphan","KS","18.7",68323,1.9,72.2,32.8,9.2,7549,51,49,2.8,19.7,19.6,91.6,5.1
"Douglas","KS","52.3",84103,4.4,80.7,22.9,7.1,118690,49.6,50.4,1.2,18.2,12.5,80.5,4.2
"Edwards","KS","18.2",62328,2.4,70.3,35.9,8.4,2911,50.5,49.5,4.7,23.8,21.7,90.9,0.2
"Elk","KS","18.0",59180,5,63.5,48.7,10.9,2466,49.4,50.6,3.6,23.3,27.9,92,0.1
"Ellis","KS","37.4",83959,3.6,79,26.7,5.8,28893,49.6,50.4,3,21.5,15.4,91.3,1.5
"Ellsworth","KS","20.8",68312,3.8,74.5,37.3,5.5,6403,56,44,2.7,18.9,20.9,88.7,3.4
"Finney","KS","17.7",77479,5.2,69.4,26.1,12.9,38338,51.9,48.1,1.6,30.3,11,71.9,4
"Ford","KS","20.5",77562,3.7,69.9,24.7,13.9,34426,52.1,47.9,1.4,30.3,10.9,77.1,2.1
"Franklin","KS","23.0",75177,2.8,75.7,31.2,7.6,25953,50.4,49.6,2,24,16.5,92.2,0.5
"Geary","KS","23.9",64582,4.6,78.2,28.1,8,36514,53.4,46.6,1.3,31.3,8.3,63.1,17.5
"Gove","KS","19.6",69039,3.3,66.7,36.8,12.6,2774,51.7,48.3,3.8,25.7,24.8,94.9,0.9
"Graham","KS","26.4",58154,4,74.4,39.9,7,2444,50.4,49.6,4.6,20.8,26.2,90.5,4.4
"Grant","KS","24.1",91037,2.5,67.3,24.4,15,7430,52.1,47.9,1.2,30.6,13.2,81.1,0.1
"Gray","KS","23.1",84941,1.8,73.2,24.8,13.6,5720,51,49,1.9,29.9,14.9,94.8,0
"Greeley","KS","29.3",73233,0,76.9,30.3,8.9,1257,49.9,50.1,2.5,28.9,19.1,77.7,0
"Greenwood","KS","17.6",67212,2.3,69.3,41.3,9.1,6049,50.9,49.1,3.7,21.7,24.7,93.9,0.4
"Hamilton","KS","19.4",62547,0,55.3,30.1,23.1,2572,53.2,46.8,1.7,27,13.2,87.3,0
"Harper","KS","16.8",62623,4.2,68,42.5,10.1,5525,49.2,50.8,3.4,25.4,22.4,93.1,0.1
"Harvey","KS","32.0",75660,3.5,72.9,32.5,8.4,34006,49.2,50.8,3.3,24.4,19.4,88.6,2
"Haskell","KS","15.3",86630,3.2,68.4,27.6,17.4,3803,49,51,0.8,28.3,13.8,77.8,0.3
"Hodgeman","KS","30.2",73560,4.5,76.9,31.4,10.2,1851,50.2,49.8,3.2,21.8,21.8,97.5,0.1
"Jackson","KS","21.2",70911,4,75.6,34.5,8.6,13287,50.6,49.4,1.5,25.3,19,85.5,0.3
"Jefferson","KS","24.6",87598,3.7,81.6,29.2,4.9,18391,50.4,49.6,2,22.8,18.7,94.7,0.7
"Jewell","KS","19.7",64271,1.3,69.3,43.7,7.1,2927,51.5,48.5,5,21.1,30.1,94.3,0.4
"Johnson","KS","56.3",127712,3.1,84,20.5,5.8,605154,49.4,50.6,1.9,24.3,14.6,83.4,4.8
"Kearny","KS","19.2",77194,2.1,62.9,35,13.9,4019,48,52,2.1,29.7,15.1,89.7,2.5
"Kingman","KS","22.2",74185,3.5,72.5,35.3,9.2,7495,50.8,49.2,3.5,21.9,21.2,95.3,0.1
"Kiowa","KS","24.6",68518,3.7,71.2,32.9,12.2,2457,47.8,52.2,5.3,24.6,22.1,91.7,0.8
"Labette","KS","22.3",65170,3,63.9,40,10.2,20222,50,50,2.5,24.4,19,88.2,4.2
"Lane","KS","23.8",66046,0.2,76.7,26,14.9,1504,49.6,50.4,2.9,21.7,19.3,91.9,0
"Leavenworth","KS","34.6",96091,5.2,80.2,30.7,6,81601,53.3,46.7,1.4,23.8,14.4,81.3,8.1
"Lincoln","KS","24.7",62062,2.4,74,37.2,6.6,2952,51.3,48.7,3.8,23.6,24.5,95.5,0.1
"Linn","KS","20.5",71261,4.4,70.7,38.5,9.9,9667,51.1,48.9,2.8,22.8,22.1,94.1,0.9
"Logan","KS","20.4",80647,0.8,72,37.9,8.8,2777,51.5,48.5,5.4,24.7,20.7,93.6,0.1
"Lyon","KS","26.7",66512,3.4,72.4,29.7,9.5,32318,48.2,51.8,1.7,22.4,14.8,83,1.9
"Marion","KS","27.6",71861,4.7,73.7,36.4,6.5,11877,50,50,3.2,21.3,23,94.5,1
"Marshall","KS","18.8",74395,2.6,77.4,34.3,6.4,9995,50.2,49.8,3.2,24.5,22,95.4,0.5
"McPherson","KS","29.7",78369,1.6,78,30.3,6.2,30059,49.7,50.3,4.1,22.4,19.5,94.8,1.4
"Meade","KS","22.4",113325,1.7,72.2,29.7,12.4,4089,50.3,49.7,2.5,26.5,16.4,81.9,0.4
"Miami","KS","32.8",98488,2.9,79.5,26.1,7,33968,50.5,49.5,1.7,24.4,16.7,93.4,0.9
"Mitchell","KS","25.9",65128,1.8,74.6,38.2,6.4,5884,51.3,48.7,3.6,22.7,23.1,95.7,0.4
"Montgomery","KS","20.5",61208,4.5,62.6,40.3,12.5,31679,50.4,49.6,2.5,23.8,19,82.4,4.9
"Morris","KS","25.3",67309,3.3,72,39.4,8.3,5377,51.3,48.7,3.7,20.9,24.7,95.6,0.1
"Morton","KS","17.2",63369,2.2,67.8,31.1,13.9,2744,47.8,52.2,2,25.6,19,86.2,0.3
"Nemaha","KS","28.1",85397,1.7,80.3,28.2,5.1,10197,50.6,49.4,5.2,27.7,19.4,96.1,0.5
"Neosho","KS","20.5",65808,4.7,68.7,34.2,11.5,15926,49.1,50.9,2.9,24.9,19.7,93.9,1.2
"Ness","KS","21.9",79257,0.7,77.9,31.8,7.5,2717,51,49,4.5,20.7,24.4,86.5,0.8
"Norton","KS","23.3",76880,1.4,72.1,33.4,9.6,5457,56.1,43.9,3.8,20,20.7,90.6,3.1
"Osage","KS","21.4",71515,3.3,71.4,35.6,9.3,15811,50.4,49.6,2,23.4,19.9,94.9,0.5
"Osborne","KS","21.5",68574,2.7,75,37.1,5.8,3512,50.3,49.7,5.7,21,24.6,94.8,0.5
"Ottawa","KS","21.2",79667,4.1,73,34.4,8.5,5778,52.1,47.9,1.6,23,20.2,95.1,0.9
"Pawnee","KS","19.5",68719,1.3,69.3,37.8,10.3,6356,55.6,44.4,1.4,14.8,20.9,87.8,6.8
"Phillips","KS","21.5",68669,3.7,71.5,37.3,6.9,5022,50.5,49.5,3.7,22.2,23.4,94.7,1.9
"Pottawatomie","KS","36.7",88470,2.1,83.4,26.7,4.6,25082,50,50,1.9,29.7,14.2,92.8,1.8
"Pratt","KS","32.1",75195,2.9,74.1,34.9,8.2,9266,49.9,50.1,2.7,25.3,19.8,92.5,2
"Rawlins","KS","21.7",68570,0.6,71,41.7,7.6,2531,51.7,48.3,3.8,21.7,26.6,93.5,0.6
"Reno","KS","20.7",69747,4.2,71.2,35.4,9.2,62071,50.5,49.5,3.6,22.5,19.8,88.9,2.4
"Republic","KS","26.1",63568,1,77,40.2,4.6,4707,49.6,50.4,5.4,22.7,26.5,96.5,0.8
"Rice","KS","22.5",69046,4.8,75.4,31,7.4,9464,51.7,48.3,2.4,23.1,19,86.2,1.8
"Riley","KS","48.2",76348,4.9,84,21.7,6.1,72602,52.4,47.6,1.4,16.5,9.4,81,6.2
"Rooks","KS","20.7",69484,2,72.7,39.8,6.2,4975,48.8,51.2,4.9,22.8,22.7,95,1.2
"Rush","KS","20.4",70775,3.4,80.9,35.8,4.7,2883,50.7,49.3,5.1,22.3,24.3,91.8,0.3
"Russell","KS","21.6",65403,4.6,68.2,36,11.1,6747,49.3,50.7,5.7,22.3,24.1,91.1,1.7
"Saline","KS","27.8",71419,3.6,72.8,33,8.9,54378,50,50,2.8,23.4,17.5,87.4,2.9
"Scott","KS","23.9",70482,0.3,76.1,35.5,6.2,5163,52.5,47.5,2.9,28.4,19.2,89.8,0
"Sedgwick","KS","31.2",81358,5.6,69.4,32,10.7,520467,49.6,50.4,1.8,25.7,14.6,74.4,8.4
"Seward","KS","11.3",66431,3.6,66,27.4,14.5,22223,52.6,47.4,1.8,31.4,9.9,52.9,2.7
"Shawnee","KS","32.3",78368,4,75.5,33,7.7,179053,48.6,51.4,2.4,23.7,18.2,79.9,8.3
"Sheridan","KS","22.8",95944,1.9,81.7,30.2,6,2459,50.7,49.3,3.2,25.4,22.6,94.3,0.6
"Sherman","KS","21.4",76989,4.1,67.8,42.8,7.9,5965,51.8,48.2,4.1,24.2,19.7,87.9,1.5
"Smith","KS","21.4",67452,2.5,71.2,39.2,7.8,3588,50.8,49.2,4.5,20.3,27.4,95.7,0.4
"Stafford","KS","26.4",72945,3.8,72.4,33.2,10.4,4106,52.3,47.7,3.5,24.5,21.1,92.7,0.3
"Stanton","KS","15.0",76209,3.6,58.6,39.3,16,2088,54.6,45.4,1.8,31.2,17.3,87.7,0
"Stevens","KS","12.2",69552,6.8,67.5,27.1,16.6,5320,53.4,46.6,2.6,29.1,15.6,74.1,0.4
"Sumner","KS","25.4",70498,6.3,73.2,33.1,9.1,22603,51,49,3,24.5,18.8,92,0.8
"Thomas","KS","24.1",87389,1.4,75.7,27.6,8.4,7902,49,51,2.8,24,16.8,92.7,0.8
"Trego","KS","23.8",85624,2,77.2,40.2,7.4,2825,50.5,49.5,6.5,19.2,26.8,96.7,0.1
"Wabaunsee","KS","24.3",80733,2.2,76.4,33.3,8.3,6881,51,49,2.5,23.7,20.1,94.4,0.7
"Wallace","KS","28.3",70309,0.8,76.8,39.7,4.2,1529,49.7,50.3,8.1,24.7,24.5,94.5,0.3
"Washington","KS","22.4",67470,2.3,75.9,35.4,5.8,5531,51.8,48.2,3.9,22.7,23.8,96,0.2
"Wichita","KS","18.0",74143,5.1,71.8,35,10.6,2150,47.9,52.1,2.7,23.3,18.9,83.3,0.7
"Wilson","KS","18.4",70973,4.3,71,41.5,5.9,8713,49.8,50.2,3.1,24.2,21.7,94.4,0.3
"Woodson","KS","20.4",63522,7.2,69.5,40.9,9.3,3162,52.9,47.1,3.8,19.5,25.2,92.9,0.1
"Wyandotte","KS","19.3",66322,6,54.9,36.4,17.3,168333,50,50,1.2,27.9,12.5,53.1,20.7
"Adair","KY","18.9",60663,6.7,56.6,50.1,6,18832,50.5,49.5,2,20.4,18.4,93.1,2.3
"Allen","KY","17.4",63024,7.6,59.7,47.1,8.2,20604,49.7,50.3,2,23.4,17.3,96.3,0.5
"Anderson","KY","25.3",77985,5.1,71.1,40.3,3.1,23646,50,50,1.2,23.8,15.8,94.3,2.4
"Ballard","KY","16.1",74513,5.5,60.3,49.3,5,7814,50.6,49.4,2.8,20.7,21.2,92.7,3.9
"Barren","KY","17.2",60462,6.4,55.6,48,8.9,44277,48.6,51.4,2.1,23.8,17.6,91,3.5
"Bath","KY","14.9",71972,2.9,53.1,54.6,7,12680,50.3,49.7,1.4,25.9,16.6,96.1,1.5
"Bell","KY","9.9",43220,9.2,40.5,67.1,5.7,24674,49.8,50.2,2.5,21.6,18.4,94.7,2.1
"Boone","KY","34.0",103177,3.4,77.8,28.9,5.2,134599,49.8,50.2,1.2,26.2,13.5,88.4,3.7
"Bourbon","KY","23.1",75239,5.1,67.6,43.2,3.7,20281,49.5,50.5,1.5,22.8,18.6,87.5,5.1
"Boyd","KY","20.6",68567,8.5,58.9,53.1,5.8,48447,50.2,49.8,2.1,21.6,19.5,93.3,1.9
"Boyle","KY","26.7",71061,6.2,66.2,44.4,6,30469,50.3,49.7,2.4,20.3,18.5,85.9,7.8
"Bracken","KY","13.0",72562,4.6,66.5,45.5,3.8,8394,50.6,49.4,1.1,24.3,16.6,96.3,2.1
